Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00856534,RETURN,SHIPPED,199330,Refunded,7/9/2019 10:21 am,482.89,,26S889090R2697630,FAILED
AG-US-00784438,RETURN,SHIPPED,199298,Refunded,7/9/2019 10:18 am,446.09,,47459991GK149423H,FAILED
AG-US-00860702,RETURN,SHIPPED,199363,Refunded,7/9/2019 10:23 am,435.81,ch_1EiCDNJbAfK4zMcbWjQs1U4D,,FAILED
AG-US-00864066,RETURN,SHIPPED,199279,Refunded,7/9/2019 2:16 am,333.2,ch_1Elj56JbAfK4zMcbetk1PRP0,,SUCCESS
AG-US-00857540,RETURN,SHIPPED,199338,Refunded,7/9/2019 10:21 am,324.12,ch_1EfUgRJbAfK4zMcbOjPhe2oj,,SUCCESS
AG-US-00853484,RETURN,SHIPPED,199231,Refunded,7/9/2019 2:12 am,321.2,ch_1Ec1hnJbAfK4zMcbtNCCGjBc,,SUCCESS
AG-US-00863195,RETURN,SHIPPED,199271,Refunded,7/9/2019 2:15 am,306.01,ch_1EkdObJbAfK4zMcbK6R5D36s,,SUCCESS
AG-US-00864469,RETURN,SHIPPED,199411,Refunded,7/9/2019 10:27 am,304.07,ch_1Em5jbJbAfK4zMcbrFehJtDS,,SUCCESS
AG-US-00857038,RETURN,SHIPPED,199335,Refunded,7/9/2019 10:21 am,280.32,ch_1EewHeJbAfK4zMcbOp8p5XoH,,SUCCESS
AG-US-00865315,RETURN,SHIPPED,199416,Refunded,7/9/2019 10:28 am,277.1,ch_1EmixyJbAfK4zMcbcLdSaYou,,SUCCESS
AG-US-00859619,RETURN,SHIPPED,199354,Refunded,7/9/2019 10:23 am,267.18,ch_1EhIXCJbAfK4zMcbPSjVDMxH,,SUCCESS
AG-US-00861719,RETURN,SHIPPED,199379,Refunded,7/9/2019 10:25 am,244,ch_1EjIFpJbAfK4zMcbkCV5rjUz,,SUCCESS
AG-US-00861959,RETURN,SHIPPED,199261,Refunded,7/9/2019 2:15 am,234,ch_1EjYjoJbAfK4zMcbdYtearPz,,SUCCESS
AG-US-00862747,RETURN,SHIPPED,199268,Refunded,7/9/2019 2:15 am,216,ch_1EkJGGJbAfK4zMcb6HLJeSa1,,SUCCESS
AG-US-00861530,RETURN,SHIPPED,199375,Refunded,7/9/2019 10:24 am,205,,04278092EB310815E,FAILED
AG-US-00854788,RETURN,PART_SHIPPED,199232,Refunded,7/9/2019 2:13 am,202.16,,4G5288631X4294229,FAILED
