order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00819185,RETURN,SHIPPED,203667,Refunded,9/12/2019 9:09 am,352,,6VE808239G282613E
AG-US-00853644,RETURN,SHIPPED,203669,Refunded,9/12/2019 9:09 am,162,ch_1EcCSCJbAfK4zMcbR4r5B2Qv,
AG-US-00841476,RETURN,SHIPPED,203671,Refunded,9/12/2019 9:09 am,128.03,ch_1ERlj4JbAfK4zMcbqhC21c3r,
AG-US-00827219,RETURN,SHIPPED,203668,Refunded,9/12/2019 9:09 am,118,ch_1EFXfDJbAfK4zMcbY5Ff5YUA,
AG-US-00853849,RETURN,SHIPPED,203670,Refunded,9/12/2019 9:09 am,102,ch_1EcHlKJbAfK4zMcbHvsbvRLr,
AG-US-00866539,RETURN,SHIPPED,203673,Refunded,9/12/2019 9:09 am,88,ch_1EoHM0JbAfK4zMcbzAxUv8MY,
AG-US-00860731,RETURN,SHIPPED,203672,Refunded,9/12/2019 9:09 am,74.46,,4HH76078KM7567302
SO901270873,RETURN,SHIPPED,203764,Refunded,9/12/2019 9:16 am,38,,
