Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00868159,RETURN,SHIPPED,200551,Refunded,7/19/19 10:08,480.66,ch_1EqjjlJbAfK4zMcblvNcUsG4,,SUCCESS
AG-US-00864071,RETURN,SHIPPED,200456,Refunded,7/19/19 10:01,480,ch_1EljcYJbAfK4zMcbQpDlDvFA,,SUCCESS
AG-US-00867920,RETURN,SHIPPED,200540,Refunded,7/19/19 10:07,432,ch_1Eq9j0JbAfK4zMcbBsNdQ0TN,,SUCCESS
AG-US-00868027,RETURN,SHIPPED,200549,Refunded,7/19/19 10:08,432,ch_1EqU8sJbAfK4zMcbuOSRKU5b,,SUCCESS
AG-US-00852874,RETURN,SHIPPED,200415,Refunded,7/19/19 9:59,310.27,ch_1EbbBiJbAfK4zMcbBldl5kJN,,SUCCESS
AG-US-00860336,RETURN,SHIPPED,200430,Refunded,7/19/19 10:00,303.8,ch_1Ehr9AJbAfK4zMcbBOHy7GNH,,SUCCESS
AG-US-00865810,RETURN,SHIPPED,200493,Refunded,7/19/19 10:04,300.9,,,SUCCESS
AG-US-00865805,RETURN,SHIPPED,200492,Refunded,7/19/19 10:04,271.16,ch_1EnHexJbAfK4zMcbbZXvQD5Z,,SUCCESS
AG-US-00852158,RETURN,SHIPPED,200413,Refunded,7/19/19 9:58,255.47,,,SUCCESS
AG-US-00866191,RETURN,SHIPPED,200496,Refunded,7/19/19 10:04,239.7,ch_1Ent49JbAfK4zMcbz1lPYstq,,SUCCESS
AG-US-00864898,RETURN,SHIPPED,200471,Refunded,7/19/19 10:02,234.6,ch_1EmMs9JbAfK4zMcbgDvGsD3G,,SUCCESS
AG-US-00867952,RETURN,SHIPPED,200544,Refunded,7/19/19 10:08,226,,,SUCCESS
AG-US-00824831,RETURN,SHIPPED,200404,Refunded,7/19/19 9:58,218.41,,,SUCCESS
AG-US-00864204,RETURN,SHIPPED,200459,Refunded,7/19/19 10:02,218,ch_1ElmbJJbAfK4zMcbryFHxwRM,,SUCCESS
AG-US-00860952,RETURN,SHIPPED,200435,Refunded,7/19/19 10:00,217.6,ch_1EiXUCJbAfK4zMcbFUJIUSJL,,SUCCESS
AG-US-00866625,RETURN,SHIPPED,200508,Refunded,7/19/19 10:05,216,,,SUCCESS
AG-US-00837199,RETURN,SHIPPED,200402,Refunded,7/19/19 9:58,204,ch_1ENl2fJbAfK4zMcbLRzk9gP0,,SUCCESS
AG-US-00864966,RETURN,SHIPPED,200472,Refunded,7/19/19 10:03,201.81,ch_1EmTmdJbAfK4zMcbUqW1pHLL,,SUCCESS
AG-US-00866286,RETURN,SHIPPED,200501,Refunded,7/19/19 10:05,201.81,,,SUCCESS
AG-US-00825286,RETURN,SHIPPED,200405,Refunded,7/19/19 9:58,200.6,,,SUCCESS
AG-US-00864191,RETURN,SHIPPED,200461,Refunded,7/19/19 10:02,199.64,ch_1EloBxJbAfK4zMcbOpV50Zof,,SUCCESS
AG-US-00862450,RETURN,SHIPPED,200442,Refunded,7/19/19 10:01,191.84,ch_1EjveXJbAfK4zMcbpIjeQMEg,,SUCCESS
AG-US-00860706,RETURN,SHIPPED,200432,Refunded,7/19/19 10:00,190.96,ch_1EiDTdJbAfK4zMcbpjkjneCM,,SUCCESS
AG-US-00867458,RETURN,SHIPPED,200526,Refunded,7/19/19 10:06,186,ch_1Epai6JbAfK4zMcbNetprzbX,,SUCCESS
AG-US-00863533,RETURN,SHIPPED,200451,Refunded,7/19/19 10:01,185.33,ch_1ElFI4JbAfK4zMcbC1T5Lr3H,,SUCCESS
AG-US-00867850,RETURN,SHIPPED,200541,Refunded,7/19/19 10:07,184.03,ch_1EqAnOJbAfK4zMcb1tzWVVUQ,,SUCCESS
AG-US-00867861,RETURN,SHIPPED,200542,Refunded,7/19/19 10:07,182,ch_1EqDXUJbAfK4zMcbO0ZfQl5z,,SUCCESS
AG-US-00865657,RETURN,SHIPPED,200486,Refunded,7/19/19 10:04,176,ch_1En97TJbAfK4zMcbP1Fyv2CN,,SUCCESS
AG-US-00867075,RETURN,SHIPPED,200520,Refunded,7/19/19 10:06,171.21,,,SUCCESS
AG-US-00861708,RETURN,SHIPPED,200439,Refunded,7/19/19 10:00,169.26,ch_1EjHYfJbAfK4zMcbdHJSqSM7,,SUCCESS
AG-US-00867685,RETURN,SHIPPED,200534,Refunded,7/19/19 10:07,162,,,SUCCESS
AG-US-00865037,RETURN,SHIPPED,200473,Refunded,7/19/19 10:03,161.69,,,SUCCESS
AG-US-00867214,RETURN,SHIPPED,200523,Refunded,7/19/19 10:06,156,ch_1EpEnZJbAfK4zMcbIsfaS3TS,,SUCCESS
AG-US-00857644,RETURN,SHIPPED,200421,Refunded,7/19/19 9:59,150.08,ch_1EfWF7JbAfK4zMcbuup73U6K,,SUCCESS
AG-US-00868555,RETURN,SHIPPED,200556,Refunded,7/19/19 10:08,147.32,,,SUCCESS
AG-US-00867885,RETURN,SHIPPED,200547,Refunded,7/19/19 10:08,146,ch_1EqMbEJbAfK4zMcbixFjlQM9,,SUCCESS
AG-US-00867650,RETURN,SHIPPED,200532,Refunded,7/19/19 10:07,145.86,ch_1EpwQ4JbAfK4zMcbEmEcETtA,,SUCCESS
AG-US-00864189,RETURN,SHIPPED,200460,Refunded,7/19/19 10:02,136,,,SUCCESS
AG-US-00868331,RETURN,SHIPPED,200553,Refunded,7/19/19 10:08,136,,,SUCCESS
AG-US-00856826,RETURN,SHIPPED,200420,Refunded,7/19/19 9:59,128,ch_1Een9mJbAfK4zMcbRoOLo5uN,,SUCCESS
AG-US-00847545,RETURN,SHIPPED,200449,Refunded,7/19/19 10:01,127.44,,,SUCCESS
AG-US-00850271,RETURN,SHIPPED,200478,Refunded,7/19/19 10:03,126.85,ch_1EZingJbAfK4zMcb8qsPdCJ2,,SUCCESS
AG-US-00863048,RETURN,SHIPPED,200447,Refunded,7/19/19 10:01,125.98,ch_1EkZhtJbAfK4zMcbDPSuo5T2,,SUCCESS
AG-US-00831402,RETURN,SHIPPED,200406,Refunded,7/19/19 9:58,125.97,,,SUCCESS
AG-US-00861190,RETURN,SHIPPED,200437,Refunded,7/19/19 10:00,119.14,ch_1EisZaJbAfK4zMcbD6n7no1l,,SUCCESS
AG-US-00831349,RETURN,SHIPPED,200407,Refunded,7/19/19 9:58,118,ch_1EIxyPJbAfK4zMcbEldTMB3A,,SUCCESS
AG-US-00847111,RETURN,SHIPPED,200409,Refunded,7/19/19 9:58,118,,,SUCCESS
AG-US-00851445,RETURN,SHIPPED,200411,Refunded,7/19/19 9:58,118,ch_1EaT4PJbAfK4zMcboC7GEJEO,,SUCCESS
AG-US-00853543,RETURN,SHIPPED,200416,Refunded,7/19/19 9:59,118,,,SUCCESS
AG-US-00833001,RETURN,SHIPPED,200476,Refunded,7/19/19 10:03,118,ch_1EKCXfJbAfK4zMcbi1gLWZki,,SUCCESS
AG-US-00849272,RETURN,SHIPPED,200477,Refunded,7/19/19 10:03,118,ch_1EYZzmJbAfK4zMcb8Ig1Q64s,,SUCCESS
AG-US-00849272,RETURN,SHIPPED,200512,Refunded,7/19/19 10:05,118,ch_1EYZzmJbAfK4zMcb8Ig1Q64s,,SUCCESS
AG-US-00842298,RETURN,SHIPPED,200403,Refunded,7/19/19 9:58,117.99,ch_1EST6nJbAfK4zMcbvp0b7MjE,,SUCCESS
AG-US-00866921,RETURN,SHIPPED,200511,Refunded,7/19/19 10:05,117.3,ch_1Eohg2JbAfK4zMcbKsl1POlS,,SUCCESS
AG-US-00867128,RETURN,SHIPPED,200516,Refunded,7/19/19 10:05,117.3,ch_1EoxINJbAfK4zMcbzQhfuRuS,,SUCCESS
AG-US-00866467,RETURN,SHIPPED,200503,Refunded,7/19/19 10:05,117.18,ch_1EoGW6JbAfK4zMcbw4kyukn6,,SUCCESS
AG-US-00862652,RETURN,SHIPPED,200445,Refunded,7/19/19 10:01,116.8,,,SUCCESS
AG-US-00866586,RETURN,SHIPPED,200505,Refunded,7/19/19 10:05,116.37,,,SUCCESS
AG-US-00805192,RETURN,SHIPPED,200522,Refunded,7/19/19 10:06,116.37,ch_1DzHbMJbAfK4zMcbMFuwk2FF,,SUCCESS
