order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00863331,RETURN,SHIPPED,202837,Refunded,8/27/2019 2:15 am,224,ch_1EkwXaJbAfK4zMcbEiIWgNTg,
AG-US-00858537,RETURN,SHIPPED,202834,Refunded,8/27/2019 2:15 am,206.4,ch_1EgOMkJbAfK4zMcbzKUpxQbr,
AG-US-00860743,RETURN,SHIPPED,202836,Refunded,8/27/2019 2:15 am,144,ch_1EiNAfJbAfK4zMcb5vFlSUga,
AG-US-00853085,RETURN,SHIPPED,202846,Refunded,8/27/2019 2:16 am,128.62,,14E58323GK128230B
AG-US-00853971,RETURN,SHIPPED,202832,Refunded,8/27/2019 2:15 am,118,,6H9438280E955022N
AG-US-00845406,RETURN,SHIPPED,202851,Refunded,8/27/2019 2:16 am,118,ch_1EUdMrJbAfK4zMcbpsjxLNYk,
AG-US-00854760,RETURN,SHIPPED,202847,Refunded,8/27/2019 2:16 am,109.33,ch_1EcyPWJbAfK4zMcb4GGXpKMb,
AG-US-00854732,RETURN,SHIPPED,202833,Refunded,8/27/2019 2:15 am,108.8,ch_1EcwumJbAfK4zMcbUsLxJwCB,
AG-US-00820048,RETURN,SHIPPED,202830,Refunded,8/27/2019 2:15 am,108,ch_1EB6b5JbAfK4zMcb1yk9kbIq,
AG-US-00856922,RETURN,SHIPPED,202835,Refunded,8/27/2019 2:15 am,100.3,ch_1EeuA6JbAfK4zMcbumijAqML,
AG-US-00858996,RETURN,SHIPPED,202856,Refunded,8/27/2019 2:16 am,100.3,,48S333345N181715G
AG-US-00863395,RETURN,SHIPPED,202838,Refunded,8/27/2019 2:15 am,95.64,ch_1EkxUSJbAfK4zMcbVwQIZNub,
AG-US-00865929,RETURN,SHIPPED,202839,Refunded,8/27/2019 2:15 am,68,,1DN14888CM946215J
AG-US-00867965,RETURN,SHIPPED,202841,Refunded,8/27/2019 2:15 am,68,,54D08749V0307014V
AG-US-00832175,RETURN,SHIPPED,202831,Refunded,8/27/2019 2:15 am,61.27,ch_1EJSxYJbAfK4zMcbs3G18xBn,
AG-US-00866555,RETURN,SHIPPED,202840,Refunded,8/27/2019 2:15 am,57.8,,6TU92724295682413
AG-US-00859290,RETURN,SHIPPED,202919,Pending Receipt,8/27/2019 12:25 pm,46.4,,8PP39823SG7190458
AG-US-00854739,RETURN,SHIPPED,202920,Refunded,8/27/2019 3:28 pm,118,,19W01615L41713912
AG-US-00508596,RETURN,SHIPPED,200561,Refunded,7/20/2019 2:12 am,45.4,,
