Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00863331,RETURN,SHIPPED,202837,Refunded,8/27/19 2:15,224,ch_1EkwXaJbAfK4zMcbEiIWgNTg,,SUCCESS
AG-US-00858537,RETURN,SHIPPED,202834,Refunded,8/27/19 2:15,206.4,ch_1EgOMkJbAfK4zMcbzKUpxQbr,,SUCCESS
AG-US-00860743,RETURN,SHIPPED,202836,Refunded,8/27/19 2:15,144,ch_1EiNAfJbAfK4zMcb5vFlSUga,,SUCCESS
AG-US-00853085,RETURN,SHIPPED,202846,Refunded,8/27/19 2:16,128.62,,14E58323GK128230B,SUCCESS
AG-US-00853971,RETURN,SHIPPED,202832,Refunded,8/27/19 2:15,118,,6H9438280E955022N,SUCCESS
AG-US-00845406,RETURN,SHIPPED,202851,Refunded,8/27/19 2:16,118,ch_1EUdMrJbAfK4zMcbpsjxLNYk,,SUCCESS
AG-US-00854760,RETURN,SHIPPED,202847,Refunded,8/27/19 2:16,109.33,ch_1EcyPWJbAfK4zMcb4GGXpKMb,,SUCCESS
AG-US-00854732,RETURN,SHIPPED,202833,Refunded,8/27/19 2:15,108.8,ch_1EcwumJbAfK4zMcbUsLxJwCB,,SUCCESS
AG-US-00820048,RETURN,SHIPPED,202830,Refunded,8/27/19 2:15,108,ch_1EB6b5JbAfK4zMcb1yk9kbIq,,SUCCESS
AG-US-00856922,RETURN,SHIPPED,202835,Refunded,8/27/19 2:15,100.3,ch_1EeuA6JbAfK4zMcbumijAqML,,SUCCESS
AG-US-00858996,RETURN,SHIPPED,202856,Refunded,8/27/19 2:16,100.3,,48S333345N181715G,SUCCESS
AG-US-00863395,RETURN,SHIPPED,202838,Refunded,8/27/19 2:15,95.64,ch_1EkxUSJbAfK4zMcbVwQIZNub,,SUCCESS
AG-US-00865929,RETURN,SHIPPED,202839,Refunded,8/27/19 2:15,68,,1DN14888CM946215J,SUCCESS
AG-US-00867965,RETURN,SHIPPED,202841,Refunded,8/27/19 2:15,68,,54D08749V0307014V,SUCCESS
AG-US-00832175,RETURN,SHIPPED,202831,Refunded,8/27/19 2:15,61.27,ch_1EJSxYJbAfK4zMcbs3G18xBn,,SUCCESS
AG-US-00866555,RETURN,SHIPPED,202840,Refunded,8/27/19 2:15,57.8,,6TU92724295682413,SUCCESS
AG-US-00859290,RETURN,SHIPPED,202919,Pending Receipt,8/27/19 12:25,46.4,,8PP39823SG7190458,SUCCESS
AG-US-00854739,RETURN,SHIPPED,202920,Refunded,8/27/19 15:28,118,,19W01615L41713912,SUCCESS
AG-US-00508596,RETURN,SHIPPED,200561,Refunded,7/20/19 2:12,45.4,,,FAILED
