Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00824925,RETURN,SHIPPED,201858,Refunded,8/5/19 9:19,128.47,,7TU65965750565349,SUCCESS
AG-US-00855694,RETURN,SHIPPED,201859,Refunded,8/5/19 9:19,236,ch_1EdjTEJbAfK4zMcbossTOxnY,,SUCCESS
AG-US-00856317,RETURN,SHIPPED,201861,Refunded,8/5/19 9:19,236,ch_1EeQXQJbAfK4zMcb8QMk3oWy,,SUCCESS
AG-US-00867332,RETURN,SHIPPED,201879,Refunded,8/5/19 9:20,190,ch_1EpGFvJbAfK4zMcb0qdVHFsk,,SUCCESS
AG-US-00857597,RETURN,SHIPPED,201864,Refunded,8/5/19 9:19,160.4,ch_1EfThYJbAfK4zMcb5kbY0DB0,,SUCCESS
AG-US-00866692,RETURN,SHIPPED,201876,Refunded,8/5/19 9:20,158.1,,05X34671XT582654M,SUCCESS
AG-US-00858210,RETURN,SHIPPED,201865,Refunded,8/5/19 9:19,128.92,ch_1EfzbpJbAfK4zMcb3sEgINXj,,SUCCESS
AG-US-00829097,RETURN,SHIPPED,201851,Refunded,8/5/19 9:18,128.47,ch_1EHB7ZJbAfK4zMcbxm6ttC3w,,SUCCESS
AG-US-00858730,RETURN,SHIPPED,201867,Refunded,8/5/19 9:20,128.47,ch_1EgdSsJbAfK4zMcbLLZyuqyf,,SUCCESS
AG-US-00860434,RETURN,SHIPPED,201917,Refunded,8/5/19 9:23,128.03,,8B111401ML083274Y,SUCCESS
AG-US-00860434,RETURN,SHIPPED,201930,Refunded,8/5/19 9:24,128.03,,8B111401ML083274Y,SUCCESS
AG-US-00867622,RETURN,SHIPPED,201881,Refunded,8/5/19 9:21,128,ch_1EpmfhJbAfK4zMcbYzwy3WxO,,SUCCESS
AG-US-00861227,RETURN,SHIPPED,201870,Refunded,8/5/19 9:20,124.1,,2CK42939LT741513N,SUCCESS
