order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00787464,RETURN,SHIPPED,202739,Refunded,8/26/2019 1:07 pm,234.9,ch_1Dm0yvJbAfK4zMcbTgI4yxbI,
AG-US-00864716,RETURN,SHIPPED,202758,Refunded,8/26/2019 1:08 pm,136,,6XD8619670754233D
AG-US-00847221,RETURN,SHIPPED,202744,Refunded,8/26/2019 1:07 pm,129.21,ch_1EWkYzJbAfK4zMcb9Tddgs9k,
AG-US-00845828,RETURN,SHIPPED,202752,Refunded,8/26/2019 1:08 pm,129.21,,8WK94736L2606094V
AG-US-00855167,RETURN,SHIPPED,202748,Refunded,8/26/2019 1:07 pm,128.92,ch_1EdJzCJbAfK4zMcbaa5HncGv,
AG-US-00841669,RETURN,SHIPPED,202751,Refunded,8/26/2019 1:08 pm,128.92,ch_1ES2lcJbAfK4zMcb4eHMkLoQ,
AG-US-00824315,RETURN,SHIPPED,202742,Refunded,8/26/2019 1:07 pm,128.03,ch_1EDJFKJbAfK4zMcbIUlnu1jC,
AG-US-00860035,RETURN,SHIPPED,202750,Refunded,8/26/2019 1:08 pm,127.44,,8GN53501SE410874E
AG-US-00853355,RETURN,SHIPPED,202746,Refunded,8/26/2019 1:07 pm,125.8,ch_1Ebv3kJbAfK4zMcbrCdW7Qlo,
AG-US-00831855,RETURN,SHIPPED,202743,Refunded,8/26/2019 1:07 pm,118,ch_1EJKOZJbAfK4zMcbYKxgi6Do,
AG-US-00846081,RETURN,SHIPPED,202753,Refunded,8/26/2019 1:08 pm,118,ch_1EVMxoJbAfK4zMcbEaY1Y5UO,
AG-US-00774358,RETURN,SHIPPED,202738,Refunded,8/26/2019 1:07 pm,117.99,,22P47603SD252361D
AG-US-00821567,RETURN,SHIPPED,202741,Refunded,8/26/2019 1:07 pm,117.99,,1FD94060RK969480B
AG-US-00775128,RETURN,SHIPPED,202740,Refunded,8/26/2019 1:07 pm,117.45,,89B41680CD447204K
AG-US-00779571,RETURN,SHIPPED,202765,Refunded,8/26/2019 1:09 pm,108,,1AF99094JV9357818
AG-US-00867099,RETURN,SHIPPED,202760,Refunded,8/26/2019 1:08 pm,100,ch_1Eov91JbAfK4zMcbuISjHoWH,
AG-US-00864188,RETURN,SHIPPED,202757,Refunded,8/26/2019 1:08 pm,86.4,ch_1Elo0wJbAfK4zMcbId7puLFv,
AG-US-00865446,RETURN,SHIPPED,202759,Refunded,8/26/2019 1:08 pm,78,,6VB626549U749433D
AG-US-00867038,RETURN,SHIPPED,202761,Refunded,8/26/2019 1:08 pm,74.97,,28K240570Y406963K
AG-US-00864040,RETURN,SHIPPED,202756,Refunded,8/26/2019 1:08 pm,74,ch_1ElgovJbAfK4zMcbENMdTfmr,
AG-US-00867601,RETURN,SHIPPED,202762,Refunded,8/26/2019 1:09 pm,73.27,ch_1EpggGJbAfK4zMcbmLAcTBgT,
AG-US-00862486,RETURN,SHIPPED,202755,Refunded,8/26/2019 1:08 pm,66.67,ch_1Ek00SJbAfK4zMcbWUu8O8f8,
AG-US-00857464,RETURN,SHIPPED,202749,Refunded,8/26/2019 1:08 pm,66.3,ch_1EfJv3JbAfK4zMcbeLjzFJLp,
AG-US-00848522,RETURN,SHIPPED,202745,Refunded,8/26/2019 1:07 pm,64.8,ch_1EXfzWJbAfK4zMcbL17mVXnz,
AG-US-00861048,RETURN,SHIPPED,202754,Refunded,8/26/2019 1:08 pm,62.57,ch_1EinsKJbAfK4zMcbcjth7sck,
AG-US-00414504,RETURN,SHIPPED,202737,Refunded,8/26/2019 1:07 pm,54.91,,
AG-US-00853669,RETURN,SHIPPED,202747,Refunded,8/26/2019 1:07 pm,54,ch_1EcDJHJbAfK4zMcbU2FzjX2z,
AG-US-00868353,RETURN,SHIPPED,202829,Pending Receipt,8/26/2019 3:42 pm,43.8,ch_1Er87rJbAfK4zMcbApQEkmut,
