order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00865800,RETURN,SHIPPED,202684,Refunded,8/23/2019 9:35 am,246,ch_1EnGUHJbAfK4zMcbXyxBRLaz,
AG-US-00859933,RETURN,SHIPPED,202516,Refunded,8/23/2019 2:15 am,236,ch_1EhTzSJbAfK4zMcb66gMMeRT,
AG-US-00861821,RETURN,SHIPPED,202499,Refunded,8/23/2019 2:14 am,222.66,ch_1EjU4BJbAfK4zMcbU4Yx5zn1,
AG-US-00848540,RETURN,SHIPPED,202676,Refunded,8/23/2019 9:35 am,204,ch_1EXi5fJbAfK4zMcbtkDD1ZK0,
AG-US-00859662,RETURN,SHIPPED,202679,Refunded,8/23/2019 9:35 am,200.6,ch_1EhKmMJbAfK4zMcbofSxHTJd,
AG-US-00857205,RETURN,SHIPPED,202488,Refunded,8/23/2019 2:13 am,176,,9VH30287UE637005M
AG-US-00861456,RETURN,SHIPPED,202498,Refunded,8/23/2019 2:14 am,168,ch_1EjAuZJbAfK4zMcbfBBJ5TSv,
AG-US-00862155,RETURN,SHIPPED,202500,Refunded,8/23/2019 2:14 am,166,,6PE3187571237972B
AG-US-00867642,RETURN,SHIPPED,202689,Refunded,8/23/2019 9:36 am,159.51,ch_1EpqoBJbAfK4zMcbtZicbsEf,
AG-US-00852744,RETURN,SHIPPED,202483,Refunded,8/23/2019 2:13 am,148.7,ch_1EbV2eJbAfK4zMcbCCA7VL7m,
AG-US-00867097,RETURN,SHIPPED,202505,Refunded,8/23/2019 2:15 am,146,ch_1EouseJbAfK4zMcbnpl0qicd,
AG-US-00858922,RETURN,SHIPPED,202716,Refunded,8/23/2019 9:38 am,128.47,ch_1EgqZbJbAfK4zMcbFdiPFnmI,
AG-US-00824239,RETURN,SHIPPED,202480,Refunded,8/23/2019 2:13 am,127.44,ch_1EDIkuJbAfK4zMcbfb5pl2Pv,
AG-US-00860563,RETURN,SHIPPED,202556,Refunded,8/23/2019 2:18 am,127.15,ch_1Ei89QJbAfK4zMcbcHgpUePL,
AG-US-00830272,RETURN,SHIPPED,202481,Refunded,8/23/2019 2:13 am,125.08,ch_1EI2ehJbAfK4zMcbIw9uXw7T,
AG-US-00853525,RETURN,SHIPPED,202484,Refunded,8/23/2019 2:13 am,118,ch_1Ec06wJbAfK4zMcb2rQgm2RV,
AG-US-00860220,RETURN,SHIPPED,202492,Refunded,8/23/2019 2:14 am,118,,6TS881377F790925N
AG-US-00844032,RETURN,SHIPPED,202493,Refunded,8/23/2019 2:14 am,118,ch_1ETvSpJbAfK4zMcbRCFPGD8L,
AG-US-00857260,RETURN,SHIPPED,202494,Refunded,8/23/2019 2:14 am,118,ch_1EfCWoJbAfK4zMcbMjQJfETR,
AG-US-00842984,RETURN,SHIPPED,202495,Refunded,8/23/2019 2:14 am,118,ch_1ET9HpJbAfK4zMcbEHX98dNK,
AG-US-00843706,RETURN,SHIPPED,202496,Refunded,8/23/2019 2:14 am,118,,55T92743MF587430R
AG-US-00859966,RETURN,SHIPPED,202553,Refunded,8/23/2019 2:18 am,118,ch_1Ehc4kJbAfK4zMcb52xcsMs1,
AG-US-00843048,RETURN,SHIPPED,202554,Refunded,8/23/2019 2:18 am,118,,6TM923237A589733L
AG-US-00852724,RETURN,SHIPPED,202678,Refunded,8/23/2019 9:35 am,118,ch_1EbUBEJbAfK4zMcbWfO8UJuQ,
AG-US-00846325,RETURN,SHIPPED,202681,Refunded,8/23/2019 9:35 am,118,,4AK45201FR0929702
AG-US-00848540,RETURN,SHIPPED,202682,Refunded,8/23/2019 9:35 am,118,ch_1EXi5fJbAfK4zMcbtkDD1ZK0,
AG-US-00854739,RETURN,SHIPPED,202695,Refunded,8/23/2019 9:36 am,118,,19W01615L41713912
AG-US-00857089,RETURN,SHIPPED,202696,Refunded,8/23/2019 9:36 am,118,,2KU87352AB057814Y
AG-US-00817797,RETURN,SHIPPED,202478,Refunded,8/23/2019 2:13 am,117.99,ch_1E9xJWJbAfK4zMcb0DdiLip2,
AG-US-00775030,RETURN,SHIPPED,202503,Refunded,8/23/2019 2:14 am,117.99,ch_1DgwHsJbAfK4zMcbNpKde6Lg,
AG-US-00784927,RETURN,SHIPPED,202508,Refunded,8/23/2019 2:15 am,117.99,ch_1Djb5KJbAfK4zMcbdJuokdDg,
AG-US-00867478,RETURN,SHIPPED,202506,Refunded,8/23/2019 2:15 am,117.18,ch_1EpdvSJbAfK4zMcbk0bfYrOT,
AG-US-00823871,RETURN,SHIPPED,202479,Refunded,8/23/2019 2:13 am,116.37,ch_1EDC8RJbAfK4zMcbychroiOn,
AG-US-00821378,RETURN,SHIPPED,202509,Refunded,8/23/2019 2:15 am,116.37,,9AT82690282832359
AG-US-00852465,RETURN,SHIPPED,202482,Refunded,8/23/2019 2:13 am,115.6,,0SS59163HU588091M
AG-US-00848862,RETURN,SHIPPED,202504,Refunded,8/23/2019 2:15 am,109.58,,8BU46579XR0020639
AG-US-00844814,RETURN,SHIPPED,202555,Refunded,8/23/2019 2:18 am,108,ch_1EUJOBJbAfK4zMcbrRnxWrtj,
