Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00844424,RETURN,SHIPPED,202139,Refunded,8/8/2019 9:14 am,380.8,,56622900EE256932N,FAILED
AG-US-00866608,RETURN,SHIPPED,202149,Refunded,8/8/2019 9:15 am,272,,3JE555580X2980204,FAILED
AG-US-00829824,RETURN,SHIPPED,202071,Refunded,8/8/2019 2:13 am,236,,3DJ60959EK069554K,FAILED
AG-US-00781272,RETURN,SHIPPED,202136,Refunded,8/8/2019 9:14 am,235.98,ch_1DiQ3JJbAfK4zMcbmh3Zi4RC,,FAILED
AG-US-00862774,RETURN,SHIPPED,202145,Refunded,8/8/2019 9:14 am,234,ch_1EkLTYJbAfK4zMcbb9aWbWxj,,SUCCESS
AG-US-00856439,RETURN,SHIPPED,202158,Refunded,8/8/2019 9:15 am,129.51,,6AH872150V7484725,FAILED
AG-US-00852622,RETURN,SHIPPED,202073,Refunded,8/8/2019 2:13 am,128.92,ch_1EbKd5JbAfK4zMcbQrYOsjiE,,SUCCESS
AG-US-00859219,RETURN,SHIPPED,202078,Refunded,8/8/2019 2:13 am,128.47,,0HL148318U5932631,FAILED
AG-US-00854914,RETURN,SHIPPED,202103,Refunded,8/8/2019 2:15 am,128.47,,9UG26662H4340232R,FAILED
AG-US-00827497,RETURN,SHIPPED,202138,Refunded,8/8/2019 9:14 am,128.03,ch_1EFkdPJbAfK4zMcbdlKpuou7,,SUCCESS
AG-US-00859213,RETURN,SHIPPED,202128,Refunded,8/8/2019 2:17 am,122.72,,9FE52142SD758462B,FAILED
AG-US-00858246,RETURN,SHIPPED,202077,Refunded,8/8/2019 2:13 am,118,ch_1Eg7aCJbAfK4zMcbkkNRxdT5,,SUCCESS
AG-US-00845526,RETURN,SHIPPED,202082,Refunded,8/8/2019 2:13 am,118,ch_1EUgQxJbAfK4zMcbbGy74Iel,,SUCCESS
AG-US-00853841,RETURN,SHIPPED,202101,Refunded,8/8/2019 2:15 am,118,ch_1EcHLJJbAfK4zMcbOuaP31Xg,,SUCCESS
AG-US-00854170,RETURN,SHIPPED,202102,Refunded,8/8/2019 2:15 am,118,ch_1EcYgpJbAfK4zMcbcAfm2utW,,SUCCESS
AG-US-00855808,RETURN,SHIPPED,202141,Refunded,8/8/2019 9:14 am,118,ch_1EdqgwJbAfK4zMcbMz7pUtfE,,SUCCESS
AG-US-00811490,RETURN,SHIPPED,202069,Refunded,8/8/2019 2:13 am,117.99,,8HC3814005869993V,FAILED
AG-US-00811490,RETURN,SHIPPED,202100,Refunded,8/8/2019 2:15 am,117.99,,8HC3814005869993V,FAILED
AG-US-00857467,RETURN,SHIPPED,202143,Refunded,8/8/2019 9:14 am,117.72,,46V9748240252212T,FAILED
AG-US-00865453,RETURN,SHIPPED,202148,Refunded,8/8/2019 9:14 am,115.83,ch_1EmvJiJbAfK4zMcb4gV5bOsR,,SUCCESS
AG-US-00868239,RETURN,SHIPPED,202089,Refunded,8/8/2019 2:14 am,110.4,ch_1Er5IRJbAfK4zMcbkRn0oIY3,,SUCCESS
AG-US-00860026,RETURN,SHIPPED,202174,Refunded,8/8/2019 9:16 am,109.83,ch_1EhfSZJbAfK4zMcbSggQ5R6a,,SUCCESS
AG-US-00857870,RETURN,SHIPPED,202076,Refunded,8/8/2019 2:13 am,109.08,ch_1EfmUvJbAfK4zMcbAUTcFdY2,,FAILED
AG-US-00773534,RETURN,SHIPPED,202065,Refunded,8/8/2019 2:12 am,108,ch_1DgcjoJbAfK4zMcbsvAQNsz1,,SUCCESS
AG-US-00786485,RETURN,SHIPPED,202067,Refunded,8/8/2019 2:13 am,108,ch_1DlF20JbAfK4zMcb344ypIJ4,,SUCCESS
AG-US-00828473,RETURN,SHIPPED,202070,Refunded,8/8/2019 2:13 am,108,ch_1EGf85JbAfK4zMcbgCjJl0J1,,SUCCESS
AG-US-00827805,RETURN,SHIPPED,202093,Refunded,8/8/2019 2:14 am,108,,30K164307M594845K,FAILED
AG-US-00817747,RETURN,SHIPPED,202094,Refunded,8/8/2019 2:14 am,108,ch_1E9wzQJbAfK4zMcbKrKexB6c,,SUCCESS
AG-US-00817930,RETURN,SHIPPED,202137,Refunded,8/8/2019 9:14 am,108,ch_1E9z8sJbAfK4zMcbPwRhItht,,SUCCESS
AG-US-00856595,RETURN,SHIPPED,202074,Refunded,8/8/2019 2:13 am,100.3,ch_1EeXYSJbAfK4zMcb0yHwX4El,,SUCCESS
AG-US-00839558,RETURN,SHIPPED,202081,Refunded,8/8/2019 2:13 am,100.3,,4GY3193188527432L,FAILED
AG-US-00859955,RETURN,SHIPPED,202104,Refunded,8/8/2019 2:15 am,100.3,ch_1EhbCqJbAfK4zMcbuDfwlzZt,,SUCCESS
AG-US-00857953,RETURN,SHIPPED,202144,Refunded,8/8/2019 9:14 am,100.3,ch_1EfrhWJbAfK4zMcb43MIU6iK,,SUCCESS
AG-US-00859429,RETURN,SHIPPED,202079,Refunded,8/8/2019 2:13 am,100.29,ch_1Eh60SJbAfK4zMcbS1rCFaiz,,SUCCESS
AG-US-00801343,RETURN,SHIPPED,202092,Refunded,8/8/2019 2:14 am,100.06,ch_1DwtpUJbAfK4zMcb9L7Bcc6r,,SUCCESS
AG-US-00863422,RETURN,SHIPPED,202084,Refunded,8/8/2019 2:14 am,98,ch_1EkzbtJbAfK4zMcbl7XKnuOw,,SUCCESS
AG-US-00804531,RETURN,SHIPPED,202068,Refunded,8/8/2019 2:13 am,95.81,ch_1DyiJJJbAfK4zMcbsT4WI9Bq,,SUCCESS
AG-US-00778286,RETURN,SHIPPED,202066,Refunded,8/8/2019 2:12 am,91.8,ch_1DhfTfJbAfK4zMcbd3lsLL0p,,SUCCESS
AG-US-00866945,RETURN,SHIPPED,202150,Refunded,8/8/2019 9:15 am,91.8,,9FT10786RN5592528,FAILED
AG-US-00868072,RETURN,SHIPPED,202088,Refunded,8/8/2019 2:14 am,88,ch_1Eqj9TJbAfK4zMcbJtfM88Q5,,SUCCESS
AG-US-00855952,RETURN,SHIPPED,202142,Refunded,8/8/2019 9:14 am,84.97,,2X7511456D509041M,FAILED
AG-US-00861824,RETURN,SHIPPED,202083,Refunded,8/8/2019 2:13 am,82.09,ch_1EjUHwJbAfK4zMcbyu2wPKrX,,SUCCESS
AG-US-00851458,RETURN,SHIPPED,202072,Refunded,8/8/2019 2:13 am,81.72,ch_1EaTnQJbAfK4zMcbUccU2szL,,SUCCESS
AG-US-00864653,RETURN,SHIPPED,202147,Refunded,8/8/2019 9:14 am,78,ch_1EmLJKJbAfK4zMcbSjsSiFSh,,SUCCESS
AG-US-00867625,RETURN,SHIPPED,202087,Refunded,8/8/2019 2:14 am,74.8,ch_1EpnCmJbAfK4zMcbQl7dAzgr,,SUCCESS
AG-US-00857209,RETURN,SHIPPED,202075,Refunded,8/8/2019 2:13 am,68,,8KT87762BD8083916,FAILED
AG-US-00864801,RETURN,SHIPPED,202146,Refunded,8/8/2019 9:14 am,68,ch_1EmLJIJbAfK4zMcbZqBabxXz,,SUCCESS
AG-US-00867779,RETURN,SHIPPED,202151,Refunded,8/8/2019 9:15 am,68,ch_1Eq2hzJbAfK4zMcb2gNZ9FP3,,SUCCESS
AG-US-00865088,RETURN,SHIPPED,202085,Refunded,8/8/2019 2:14 am,57.8,ch_1EmdSCJbAfK4zMcbRH61fiEQ,,SUCCESS
AG-US-00848887,RETURN,SHIPPED,202140,Refunded,8/8/2019 9:14 am,57.8,ch_1EYHIUJbAfK4zMcbs4GzI07N,,SUCCESS
AG-US-00859885,RETURN,SHIPPED,202080,Refunded,8/8/2019 2:13 am,28,ch_1Ehbb9JbAfK4zMcbxVcET04I,,SUCCESS
AG-US-00867320,RETURN,SHIPPED,202086,Refunded,8/8/2019 2:14 am,28,ch_1EpFfbJbAfK4zMcbo95XlJ40,,SUCCESS
