order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00844424,RETURN,SHIPPED,202139,Refunded,8/8/2019 9:14 am,380.8,,56622900EE256932N
AG-US-00866608,RETURN,SHIPPED,202149,Refunded,8/8/2019 9:15 am,272,,3JE555580X2980204
AG-US-00829824,RETURN,SHIPPED,202071,Refunded,8/8/2019 2:13 am,236,,3DJ60959EK069554K
AG-US-00781272,RETURN,SHIPPED,202136,Refunded,8/8/2019 9:14 am,235.98,ch_1DiQ3JJbAfK4zMcbmh3Zi4RC,
AG-US-00862774,RETURN,SHIPPED,202145,Refunded,8/8/2019 9:14 am,234,ch_1EkLTYJbAfK4zMcbb9aWbWxj,
AG-US-00856439,RETURN,SHIPPED,202158,Refunded,8/8/2019 9:15 am,129.51,,6AH872150V7484725
AG-US-00852622,RETURN,SHIPPED,202073,Refunded,8/8/2019 2:13 am,128.92,ch_1EbKd5JbAfK4zMcbQrYOsjiE,
AG-US-00859219,RETURN,SHIPPED,202078,Refunded,8/8/2019 2:13 am,128.47,,0HL148318U5932631
AG-US-00854914,RETURN,SHIPPED,202103,Refunded,8/8/2019 2:15 am,128.47,,9UG26662H4340232R
AG-US-00827497,RETURN,SHIPPED,202138,Refunded,8/8/2019 9:14 am,128.03,ch_1EFkdPJbAfK4zMcbdlKpuou7,
AG-US-00859213,RETURN,SHIPPED,202128,Refunded,8/8/2019 2:17 am,122.72,,9FE52142SD758462B
AG-US-00858246,RETURN,SHIPPED,202077,Refunded,8/8/2019 2:13 am,118,ch_1Eg7aCJbAfK4zMcbkkNRxdT5,
AG-US-00845526,RETURN,SHIPPED,202082,Refunded,8/8/2019 2:13 am,118,ch_1EUgQxJbAfK4zMcbbGy74Iel,
AG-US-00853841,RETURN,SHIPPED,202101,Refunded,8/8/2019 2:15 am,118,ch_1EcHLJJbAfK4zMcbOuaP31Xg,
AG-US-00854170,RETURN,SHIPPED,202102,Refunded,8/8/2019 2:15 am,118,ch_1EcYgpJbAfK4zMcbcAfm2utW,
AG-US-00855808,RETURN,SHIPPED,202141,Refunded,8/8/2019 9:14 am,118,ch_1EdqgwJbAfK4zMcbMz7pUtfE,
AG-US-00811490,RETURN,SHIPPED,202069,Refunded,8/8/2019 2:13 am,117.99,,8HC3814005869993V
AG-US-00811490,RETURN,SHIPPED,202100,Refunded,8/8/2019 2:15 am,117.99,,8HC3814005869993V
AG-US-00857467,RETURN,SHIPPED,202143,Refunded,8/8/2019 9:14 am,117.72,,46V9748240252212T
AG-US-00865453,RETURN,SHIPPED,202148,Refunded,8/8/2019 9:14 am,115.83,ch_1EmvJiJbAfK4zMcb4gV5bOsR,
AG-US-00868239,RETURN,SHIPPED,202089,Refunded,8/8/2019 2:14 am,110.4,ch_1Er5IRJbAfK4zMcbkRn0oIY3,
AG-US-00860026,RETURN,SHIPPED,202174,Refunded,8/8/2019 9:16 am,109.83,ch_1EhfSZJbAfK4zMcbSggQ5R6a,
AG-US-00857870,RETURN,SHIPPED,202076,Refunded,8/8/2019 2:13 am,109.08,ch_1EfmUvJbAfK4zMcbAUTcFdY2,
AG-US-00773534,RETURN,SHIPPED,202065,Refunded,8/8/2019 2:12 am,108,ch_1DgcjoJbAfK4zMcbsvAQNsz1,
AG-US-00786485,RETURN,SHIPPED,202067,Refunded,8/8/2019 2:13 am,108,ch_1DlF20JbAfK4zMcb344ypIJ4,
AG-US-00828473,RETURN,SHIPPED,202070,Refunded,8/8/2019 2:13 am,108,ch_1EGf85JbAfK4zMcbgCjJl0J1,
