order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00867797,RETURN,SHIPPED,200832,Refunded,7/23/2019 2:15 am,292.4,ch_1Eq3E7JbAfK4zMcbQBSS4VRq,
AG-US-00854377,RETURN,SHIPPED,200851,Refunded,7/23/2019 2:16 am,236,ch_1EcfM3JbAfK4zMcbDQ0CJEtz,
AG-US-00867311,RETURN,SHIPPED,200825,Refunded,7/23/2019 2:15 am,183.6,ch_1EpF7JJbAfK4zMcb9sG8Sxy6,
AG-US-00861900,RETURN,SHIPPED,200809,Refunded,7/23/2019 2:13 am,172,ch_1EjTrHJbAfK4zMcbOuTgYzaQ,
AG-US-00866484,RETURN,SHIPPED,200818,Refunded,7/23/2019 2:14 am,160.21,ch_1EoIrUJbAfK4zMcbcjYFaoiL,
AG-US-00868060,RETURN,SHIPPED,200840,Refunded,7/23/2019 2:16 am,156,ch_1EqhUsJbAfK4zMcbT0xeYN8Z,
AG-US-00867761,RETURN,SHIPPED,200828,Refunded,7/23/2019 2:15 am,148.58,,8M374680P7516020X
AG-US-00860099,RETURN,SHIPPED,200804,Refunded,7/23/2019 2:13 am,148,ch_1EhepIJbAfK4zMcbpSaML7oq,
AG-US-00867692,RETURN,SHIPPED,200831,Refunded,7/23/2019 2:15 am,146.88,ch_1Eq2BKJbAfK4zMcbM8ppppEs,
AG-US-00867946,RETURN,SHIPPED,200836,Refunded,7/23/2019 2:15 am,146,ch_1EqGfRJbAfK4zMcbv53IdKds,
AG-US-00864596,RETURN,SHIPPED,200812,Refunded,7/23/2019 2:14 am,136,ch_1Em8mwJbAfK4zMcbm3dVF7WV,
AG-US-00866833,RETURN,SHIPPED,200823,Refunded,7/23/2019 2:14 am,136,ch_1Eoh4FJbAfK4zMcbjxkuRxiu,
AG-US-00824290,RETURN,SHIPPED,200797,Refunded,7/23/2019 2:13 am,128.92,ch_1EDMfFJbAfK4zMcbvWaLCwlJ,
AG-US-00850583,RETURN,SHIPPED,200799,Refunded,7/23/2019 2:13 am,124.95,ch_1EZrsCJbAfK4zMcbrwimFLAI,
AG-US-00866657,RETURN,SHIPPED,200820,Refunded,7/23/2019 2:14 am,121.27,,4ED902520U623050R
AG-US-00852771,RETURN,SHIPPED,200800,Refunded,7/23/2019 2:13 am,118,ch_1EbWJ9JbAfK4zMcbASU7AHXB,
AG-US-00853058,RETURN,SHIPPED,200846,Refunded,7/23/2019 2:16 am,118,ch_1Ebp6eJbAfK4zMcbZbm87ayB,
AG-US-00854867,RETURN,SHIPPED,200853,Refunded,7/23/2019 2:16 am,118,ch_1Ed6VPJbAfK4zMcbbBxy0bZq,
AG-US-00867764,RETURN,SHIPPED,200829,Refunded,7/23/2019 2:15 am,117.33,,4U52189652062200M
AG-US-00805139,RETURN,SHIPPED,200795,Refunded,7/23/2019 2:12 am,108,ch_1DzA8dJbAfK4zMcb8Ke0v6Rw,
AG-US-00862454,RETURN,SHIPPED,200810,Refunded,7/23/2019 2:13 am,108,ch_1EjxDSJbAfK4zMcbxT6WhooE,
AG-US-00867801,RETURN,SHIPPED,200833,Refunded,7/23/2019 2:15 am,108,,6Y484453C36223521
AG-US-00867880,RETURN,SHIPPED,200838,Refunded,7/23/2019 2:16 am,108,ch_1EqLwYJbAfK4zMcbc2jGPy4q,
AG-US-00857862,RETURN,SHIPPED,200803,Refunded,7/23/2019 2:13 am,98,ch_1Efh9qJbAfK4zMcbx1kkmUYM,
AG-US-00866147,RETURN,SHIPPED,200815,Refunded,7/23/2019 2:14 am,94,ch_1EnmsRJbAfK4zMcb5g7DIZbV,
AG-US-00855813,RETURN,SHIPPED,200802,Refunded,7/23/2019 2:13 am,91.8,ch_1EdrNrJbAfK4zMcb9v67kYBy,
AG-US-00864930,RETURN,SHIPPED,200813,Refunded,7/23/2019 2:14 am,85.02,ch_1EmPeQJbAfK4zMcbQjG4Ozif,
