Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00853548,RETURN,SHIPPED,203359,Pending Receipt,9/5/2019 10:26 am,200.12,,2E071928A5805830X,FAILED
AG-US-00830304,RETURN,SHIPPED,203305,Refunded,9/5/2019 2:13 am,236,,3LD32716FF599720H,FAILED
AG-US-00857658,RETURN,SHIPPED,203309,Refunded,9/5/2019 2:13 am,220.69,ch_1EfWgpJbAfK4zMcbfk4tGmux,,SUCCESS
AG-US-00849897,RETURN,SHIPPED,203306,Refunded,9/5/2019 2:13 am,183.6,ch_1EZJL2JbAfK4zMcb9R7KKRkx,,SUCCESS
AG-US-00862854,RETURN,SHIPPED,203311,Refunded,9/5/2019 2:13 am,126.4,ch_1EkMr0JbAfK4zMcb8WqzJDD5,,SUCCESS
AG-US-00854458,RETURN,SHIPPED,203308,Refunded,9/5/2019 2:13 am,115.6,ch_1EclXtJbAfK4zMcbqDIyxJ8O,,SUCCESS
AG-US-00833283,RETURN,SHIPPED,203304,Refunded,9/5/2019 2:13 am,81.72,ch_1EKW5XJbAfK4zMcbkiX4oopO,,SUCCESS
AG-US-00850942,RETURN,SHIPPED,203307,Refunded,9/5/2019 2:13 am,78,,11170675NT509280J,FAILED
AG-US-00857760,RETURN,SHIPPED,203310,Refunded,9/5/2019 2:13 am,51,ch_1EfePjJbAfK4zMcbp1tCahbB,,SUCCESS
AG-US-00863113,RETURN,SHIPPED,203360,Refunded,9/5/2019 2:55 pm,91.8,ch_1Ekbs6JbAfK4zMcb3TJqaM32,,SUCCESS
