Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00866135,RETURN,SHIPPED,203190,Refunded,8/30/19 12:08,196,ch_1Enf8EJbAfK4zMcbLqWWhr68,,SUCCESS
AG-US-00857337,RETURN,SHIPPED,203194,Refunded,8/30/19 12:08,128.33,ch_1EfIzsJbAfK4zMcbeMU651d2,,SUCCESS
AG-US-00824183,RETURN,SHIPPED,203182,Refunded,8/30/19 12:08,118,ch_1EDHD5JbAfK4zMcbR5ke86qF,,SUCCESS
AG-US-00824362,RETURN,SHIPPED,203183,Refunded,8/30/19 12:08,118,ch_1EDMb9JbAfK4zMcbGrxh2HZL,,SUCCESS
AG-US-00858635,RETURN,SHIPPED,203184,Refunded,8/30/19 12:08,118,ch_1EgWnFJbAfK4zMcbxd45K4Yf,,SUCCESS
AG-US-00859747,RETURN,SHIPPED,203186,Refunded,8/30/19 12:08,118,,6RG383088U775961J,SUCCESS
AG-US-00859499,RETURN,SHIPPED,203185,Refunded,8/30/19 12:08,108,ch_1Eh9SaJbAfK4zMcbpjQTeBYG,,SUCCESS
AG-US-00859976,RETURN,SHIPPED,203187,Refunded,8/30/19 12:08,106,ch_1EhdGVJbAfK4zMcbnQ6ia0nA,,SUCCESS
AG-US-00865407,RETURN,SHIPPED,203189,Refunded,8/30/19 12:08,91.8,ch_1EmpfFJbAfK4zMcbVrj7TqJz,,SUCCESS
AG-US-00867640,RETURN,SHIPPED,203191,Refunded,8/30/19 12:08,74.8,,28H82423223768125,SUCCESS
AG-US-00865352,RETURN,SHIPPED,203188,Refunded,8/30/19 12:08,48,ch_1Emn59JbAfK4zMcbxRdzAIPi,,SUCCESS
