order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00866135,RETURN,SHIPPED,203190,Refunded,8/30/2019 12:08 pm,196,ch_1Enf8EJbAfK4zMcbLqWWhr68,
AG-US-00857337,RETURN,SHIPPED,203194,Refunded,8/30/2019 12:08 pm,128.33,ch_1EfIzsJbAfK4zMcbeMU651d2,
AG-US-00824183,RETURN,SHIPPED,203182,Refunded,8/30/2019 12:08 pm,118,ch_1EDHD5JbAfK4zMcbR5ke86qF,
AG-US-00824362,RETURN,SHIPPED,203183,Refunded,8/30/2019 12:08 pm,118,ch_1EDMb9JbAfK4zMcbGrxh2HZL,
AG-US-00858635,RETURN,SHIPPED,203184,Refunded,8/30/2019 12:08 pm,118,ch_1EgWnFJbAfK4zMcbxd45K4Yf,
AG-US-00859747,RETURN,SHIPPED,203186,Refunded,8/30/2019 12:08 pm,118,,6RG383088U775961J
AG-US-00859499,RETURN,SHIPPED,203185,Refunded,8/30/2019 12:08 pm,108,ch_1Eh9SaJbAfK4zMcbpjQTeBYG,
AG-US-00859976,RETURN,SHIPPED,203187,Refunded,8/30/2019 12:08 pm,106,ch_1EhdGVJbAfK4zMcbnQ6ia0nA,
AG-US-00865407,RETURN,SHIPPED,203189,Refunded,8/30/2019 12:08 pm,91.8,ch_1EmpfFJbAfK4zMcbVrj7TqJz,
AG-US-00867640,RETURN,SHIPPED,203191,Refunded,8/30/2019 12:08 pm,74.8,,28H82423223768125
AG-US-00865352,RETURN,SHIPPED,203188,Refunded,8/30/2019 12:08 pm,48,ch_1Emn59JbAfK4zMcbxRdzAIPi,
