Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00860173,RETURN,SHIPPED,201384,Refunded,7/31/19 13:30,342,ch_1EhlOkJbAfK4zMcbZ729rNyZ,,SUCCESS
AG-US-00863618,RETURN,SHIPPED,201398,Refunded,7/31/19 13:32,219.81,ch_1ElGw3JbAfK4zMcb8YF8cVru,,SUCCESS
AG-US-00860470,RETURN,SHIPPED,201390,Refunded,7/31/19 13:31,211.19,ch_1Ei8XjJbAfK4zMcb66IOsuyN,,SUCCESS
AG-US-00858801,RETURN,SHIPPED,201381,Refunded,7/31/19 13:30,202.42,ch_1EgcVeJbAfK4zMcbiV0PavBm,,SUCCESS
AG-US-00868010,RETURN,SHIPPED,201417,Refunded,7/31/19 13:33,183.6,ch_1EqQMUJbAfK4zMcbYesBeUZM,,SUCCESS
AG-US-00866680,RETURN,SHIPPED,201411,Refunded,7/31/19 13:33,176,ch_1EobclJbAfK4zMcbSx1GhxrB,,SUCCESS
AG-US-00852022,RETURN,SHIPPED,201372,Refunded,7/31/19 13:29,174.56,ch_1EasdwJbAfK4zMcbnyjAsG6C,,SUCCESS
AG-US-00866347,RETURN,SHIPPED,201408,Refunded,7/31/19 13:32,174,ch_1EnzSUJbAfK4zMcb2K4ON9Ro,,SUCCESS
AG-US-00866930,RETURN,SHIPPED,201412,Refunded,7/31/19 13:33,156,,6V376333S2299993C,SUCCESS
AG-US-00867254,RETURN,SHIPPED,201413,Refunded,7/31/19 13:33,156,ch_1EpI2gJbAfK4zMcbqJcXjR34,,SUCCESS
AG-US-00860476,RETURN,SHIPPED,201391,Refunded,7/31/19 13:31,148,,0B497433694682734,SUCCESS
AG-US-00861317,RETURN,SHIPPED,201392,Refunded,7/31/19 13:31,137.7,ch_1Eiw4TJbAfK4zMcb004IUoyq,,SUCCESS
AG-US-00862861,RETURN,SHIPPED,201396,Refunded,7/31/19 13:31,133.72,ch_1EkTV0JbAfK4zMcb00sttr1X,,SUCCESS
AG-US-00865522,RETURN,SHIPPED,201406,Refunded,7/31/19 13:32,131.33,ch_1EmxTBJbAfK4zMcbr7Y1Seof,,SUCCESS
AG-US-00855942,RETURN,SHIPPED,201376,Refunded,7/31/19 13:30,129.21,,3PR64882M3307173V,SUCCESS
AG-US-00858212,RETURN,SHIPPED,201449,Refunded,7/31/19 13:35,128.62,ch_1EfzoDJbAfK4zMcbcvxVK9Nc,,SUCCESS
AG-US-00858550,RETURN,SHIPPED,201380,Refunded,7/31/19 13:30,128.47,ch_1EgVZAJbAfK4zMcbj4HAH9On,,SUCCESS
AG-US-00853635,RETURN,SHIPPED,201374,Refunded,7/31/19 13:30,127.15,,6L515770GV326260W,SUCCESS
