order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00857147,RETURN,SHIPPED,205008,Refunded,9/26/2019 2:13 am,327.56,,15G57291TC279611Y
AG-US-00817954,RETURN,SHIPPED,205007,Refunded,9/26/2019 2:13 am,118.26,ch_1E9zsZJbAfK4zMcbf4Kul7wn,
AG-US-00858200,RETURN,SHIPPED,205185,Refunded,9/26/2019 10:45 am,116,ch_1EfxloJbAfK4zMcbeXnbPIaT,
AG-US-00774130,RETURN,SHIPPED,205006,Refunded,9/26/2019 2:13 am,108,,5XG66755JX533893N
AG-US-00801103,RETURN,SHIPPED,205010,Refunded,9/26/2019 2:13 am,108,,8KH78808YE459771T
AG-US-00868395,RETURN,SHIPPED,205012,Refunded,9/26/2019 2:13 am,94.82,ch_1ErHjeJbAfK4zMcbgiP3PlE3,
AG-US-00862063,RETURN,SHIPPED,205009,Refunded,9/26/2019 2:13 am,54,,08T21534SE5132324
