Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00856353,RETURN,SHIPPED,202064,Pending Receipt,8/7/19 9:09,38,,4WA47640DC1627018,SUCCESS
AG-US-00867882,RETURN,SHIPPED,202023,Refunded,8/7/19 9:06,292,ch_1EqM5GJbAfK4zMcb9PlWYk3t,,SUCCESS
AG-US-00866131,RETURN,SHIPPED,202019,Refunded,8/7/19 9:06,236.52,ch_1EnebzJbAfK4zMcbnPO17rzz,,SUCCESS
AG-US-00854624,RETURN,SHIPPED,202028,Refunded,8/7/19 9:07,217.15,ch_1EcvcLJbAfK4zMcb6dyAPiMY,,SUCCESS
AG-US-00863853,RETURN,SHIPPED,202018,Refunded,8/7/19 9:06,196,ch_1ElT85JbAfK4zMcbhw8OH8UC,,SUCCESS
AG-US-00866246,RETURN,SHIPPED,202020,Refunded,8/7/19 9:06,161.32,,7X095648U0707193E,SUCCESS
AG-US-00859702,RETURN,SHIPPED,202031,Refunded,8/7/19 9:07,128.92,ch_1EhKXWJbAfK4zMcbDA3gGW6O,,SUCCESS
AG-US-00840518,RETURN,SHIPPED,202016,Refunded,8/7/19 9:06,128.62,ch_1EQgbMJbAfK4zMcb5Grl0BRJ,,SUCCESS
AG-US-00841014,RETURN,SHIPPED,202013,Refunded,8/7/19 9:05,127.15,,49H22229B3214074E,SUCCESS
AG-US-00828462,RETURN,SHIPPED,202008,Refunded,8/7/19 9:05,118,,5VJ07858U3899771C,SUCCESS
AG-US-00855834,RETURN,SHIPPED,202011,Refunded,8/7/19 9:05,118,ch_1EdycgJbAfK4zMcbVUy2B4X0,,SUCCESS
AG-US-00853632,RETURN,SHIPPED,202027,Refunded,8/7/19 9:07,118,ch_1EcC7xJbAfK4zMcbVKWvjoJ6,,SUCCESS
AG-US-00772902,RETURN,SHIPPED,202007,Refunded,8/7/19 9:05,117.99,ch_1DgZN8JbAfK4zMcbFay6ItmS,,SUCCESS
AG-US-00861962,RETURN,SHIPPED,202017,Refunded,8/7/19 9:06,116.91,,8DY69581D4161803C,SUCCESS
AG-US-00833783,RETURN,SHIPPED,202010,Refunded,8/7/19 9:05,108.58,ch_1EKxuVJbAfK4zMcbu02mRz2x,,SUCCESS
AG-US-00829795,RETURN,SHIPPED,202009,Refunded,8/7/19 9:05,100.3,ch_1EHfxYJbAfK4zMcbk2KXXMWD,,SUCCESS
AG-US-00859163,RETURN,SHIPPED,202012,Refunded,8/7/19 9:05,100.3,ch_1EgzaUJbAfK4zMcbaNF0FB7O,,SUCCESS
AG-US-00856945,RETURN,SHIPPED,202015,Refunded,8/7/19 9:06,100.3,,87F04652RB405342A,SUCCESS
AG-US-00855895,RETURN,SHIPPED,202029,Refunded,8/7/19 9:07,100.3,ch_1Ee03YJbAfK4zMcb5Y9dc0st,,SUCCESS
AG-US-00820213,RETURN,SHIPPED,202049,Refunded,8/7/19 9:08,98.91,ch_1EB9IqJbAfK4zMcbMIJJCYBb,,SUCCESS
AG-US-00842814,RETURN,SHIPPED,202014,Refunded,8/7/19 9:06,94.4,ch_1ESw3UJbAfK4zMcbz6mxP3qb,,SUCCESS
AG-US-00858171,RETURN,SHIPPED,202030,Refunded,8/7/19 9:07,94.4,ch_1Eg9mHJbAfK4zMcbiC8jUWaE,,SUCCESS
AG-US-00866898,RETURN,SHIPPED,202021,Refunded,8/7/19 9:06,74.8,ch_1EoehCJbAfK4zMcb7lvrYFan,,SUCCESS
AG-US-00866941,RETURN,SHIPPED,202022,Refunded,8/7/19 9:06,68,,8L234875XT061762G,SUCCESS
