order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00853026,RETURN,SHIPPED,206150,Refunded,10/7/2019 9:07 am,183.6,ch_1EbgmwJbAfK4zMcb9duLpJZx,
AG-US-00866571,RETURN,SHIPPED,206181,Refunded,10/7/2019 1:02 pm,275.4,ch_1EoLgzJbAfK4zMcb3SxFieDM,
AG-US-00826185,RETURN,SHIPPED,206182,Refunded,10/7/2019 1:03 pm,235.44,ch_1EEpK5JbAfK4zMcbhkrgeHfl,
AG-US-00862397,RETURN,SHIPPED,206180,Refunded,10/7/2019 1:02 pm,98,ch_1EjrF6JbAfK4zMcbdgf5ZMMB,
AG-US-00783903,RETURN,SHIPPED,206178,Refunded,10/7/2019 1:02 pm,83.3,ch_1DjAVwJbAfK4zMcbvuteu0E3,
AG-US-00851328,RETURN,SHIPPED,206179,Refunded,10/7/2019 1:02 pm,28,,9X948959L1106503X
