Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00859842,RETURN,SHIPPED,201269,Pending Receipt,7/29/2019 4:26 pm,91.8,ch_1EhSfCJbAfK4zMcbg2JKp1Ar,,SUCCESS
AG-US-00866720,RETURN,SHIPPED,201270,Closed,7/29/2019 4:36 pm,116,ch_1EoXhxJbAfK4zMcbgufNWqtZ,,SUCCESS
AG-US-00860503,RETURN,SHIPPED,201271,Closed,7/29/2019 4:49 pm,28,,6RS051986C940345K,FAILED
AG-US-00868496,RETURN,SHIPPED,201250,Refunded,7/29/2019 2:13 pm,201,ch_1ErO9FJbAfK4zMcbUgBgRCF3,,SUCCESS
AG-US-00850133,RETURN,SHIPPED,201238,Refunded,7/29/2019 2:12 pm,138,,7DD44324VP2228458,FAILED
AG-US-00864852,RETURN,SHIPPED,201243,Refunded,7/29/2019 2:13 pm,127.02,ch_1EmNqSJbAfK4zMcb1bSITIsF,,SUCCESS
AG-US-00845169,RETURN,SHIPPED,201239,Refunded,7/29/2019 2:13 pm,118,,94495687KC503993L,FAILED
AG-US-00841268,RETURN,SHIPPED,201240,Refunded,7/29/2019 2:13 pm,118,,8PP44015Y2341373E,FAILED
AG-US-00841001,RETURN,SHIPPED,201241,Refunded,7/29/2019 2:13 pm,118,,1W633411RF4646034,FAILED
AG-US-00855186,RETURN,SHIPPED,201260,Refunded,7/29/2019 2:14 pm,118,,2EY37053316720325,FAILED
AG-US-00856133,RETURN,SHIPPED,201261,Refunded,7/29/2019 2:14 pm,118,ch_1EeCaiJbAfK4zMcbJJS12qlx,,SUCCESS
AG-US-00805192,RETURN,SHIPPED,201247,Refunded,7/29/2019 2:13 pm,116.37,ch_1DzHbMJbAfK4zMcbMFuwk2FF,,SUCCESS
AG-US-00828667,RETURN,SHIPPED,201237,Refunded,7/29/2019 2:12 pm,109.2,ch_1EGsGxJbAfK4zMcbxarR5BQW,,SUCCESS
AG-US-00857502,RETURN,SHIPPED,201262,Refunded,7/29/2019 2:14 pm,100.3,ch_1EfSpoJbAfK4zMcbB6dtnNmg,,SUCCESS
AG-US-00804919,RETURN,SHIPPED,201256,Refunded,7/29/2019 2:14 pm,91.8,ch_1Dz243JbAfK4zMcb80hjEo4S,,SUCCESS
AG-US-00861359,RETURN,SHIPPED,201242,Refunded,7/29/2019 2:13 pm,68,,1NE07446P2769184W,FAILED
AG-US-00865770,RETURN,SHIPPED,201245,Refunded,7/29/2019 2:13 pm,68,ch_1EnEZYJbAfK4zMcbZ1GrMvC1,,SUCCESS
AG-US-00867161,RETURN,SHIPPED,201246,Refunded,7/29/2019 2:13 pm,68,ch_1Ep2SsJbAfK4zMcbxTQLYlCo,,SUCCESS
AG-US-00868231,RETURN,SHIPPED,201249,Refunded,7/29/2019 2:13 pm,68,ch_1Er2rWJbAfK4zMcb3V6QkRSC,,SUCCESS
AG-US-00864989,RETURN,SHIPPED,201244,Refunded,7/29/2019 2:13 pm,57.8,ch_1EmWUHJbAfK4zMcbQG6varp1,,SUCCESS
AG-US-00867716,RETURN,SHIPPED,201248,Refunded,7/29/2019 2:13 pm,57.8,ch_1EplZQJbAfK4zMcbXcp7ubdT,,SUCCESS
