order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00824294,RETURN,SHIPPED,201972,Refunded,8/6/2019 9:14 am,118,ch_1EDHpdJbAfK4zMcbcBl5UiDI,
AG-US-00854009,RETURN,SHIPPED,201975,Refunded,8/6/2019 9:27 am,127.44,,9LD49021HC610782C
AG-US-00854999,RETURN,SHIPPED,201940,Refunded,8/6/2019 2:13 am,125.08,,57524153E8389603J
AG-US-00826895,RETURN,SHIPPED,201938,Refunded,8/6/2019 2:13 am,118,,8HJ686859G220815H
AG-US-00855752,RETURN,SHIPPED,201941,Refunded,8/6/2019 2:13 am,118,ch_1EdqHlJbAfK4zMcbOXzmpQO3,
AG-US-00858487,RETURN,SHIPPED,201942,Refunded,8/6/2019 2:13 am,118,,76D64973EX380841K
AG-US-00840426,RETURN,SHIPPED,201943,Refunded,8/6/2019 2:13 am,118,ch_1EQfsOJbAfK4zMcbhGFBOvoo,
AG-US-00852556,RETURN,SHIPPED,201944,Refunded,8/6/2019 2:13 am,118,ch_1EbJLPJbAfK4zMcbRfYeVpBb,
AG-US-00852556,RETURN,SHIPPED,201950,Refunded,8/6/2019 2:13 am,118,ch_1EbJLPJbAfK4zMcbRfYeVpBb,
AG-US-00852790,RETURN,SHIPPED,201974,Refunded,8/6/2019 9:27 am,118,,4EN21275YM274460E
AG-US-00856717,RETURN,SHIPPED,201991,Refunded,8/6/2019 9:28 am,118,ch_1EemHgJbAfK4zMcbJKJ2DPTy,
AG-US-00868079,RETURN,SHIPPED,201947,Refunded,8/6/2019 2:13 am,108,ch_1EqjRrJbAfK4zMcbdsQlkv1t,
AG-US-00779242,RETURN,SHIPPED,201973,Refunded,8/6/2019 9:27 am,108,,5CF09600VM5083018
AG-US-00863456,RETURN,SHIPPED,201981,Refunded,8/6/2019 9:27 am,108,ch_1El4u2JbAfK4zMcbPnXCSRIg,
AG-US-00777035,RETURN,SHIPPED,201986,Refunded,8/6/2019 9:28 am,108,,7NM219157H001454G
AG-US-00802489,RETURN,SHIPPED,201988,Refunded,8/6/2019 9:28 am,108,,4Y331976PC147222S
AG-US-00857478,RETURN,SHIPPED,201954,Refunded,8/6/2019 2:14 am,100.3,ch_1EfQKjJbAfK4zMcbV0W1siaK,
AG-US-00854781,RETURN,SHIPPED,201976,Refunded,8/6/2019 9:27 am,100.3,ch_1EczpHJbAfK4zMcbHRnWnO3c,
AG-US-00859824,RETURN,SHIPPED,201978,Refunded,8/6/2019 9:27 am,100.3,,0RS28686S10033839
AG-US-00843305,RETURN,SHIPPED,201979,Refunded,8/6/2019 9:27 am,100.3,ch_1ETFpDJbAfK4zMcbhZl2cqpr,
AG-US-00850000,RETURN,SHIPPED,201939,Refunded,8/6/2019 2:13 am,94.6,ch_1EZMx9JbAfK4zMcb3AazYiLA,
AG-US-00785618,RETURN,SHIPPED,201936,Refunded,8/6/2019 2:12 am,88,ch_1Dk0ynJbAfK4zMcbPFAkUMbf,
AG-US-00867414,RETURN,SHIPPED,201946,Refunded,8/6/2019 2:13 am,74.29,ch_1EpPSlJbAfK4zMcbpq9lexx7,
AG-US-00838709,RETURN,SHIPPED,201937,Refunded,8/6/2019 2:13 am,72.08,,8NS67039SA7468531
AG-US-00867084,RETURN,SHIPPED,201945,Refunded,8/6/2019 2:13 am,68,ch_1Ep4IbJbAfK4zMcbUTzEnNnz,
AG-US-00861209,RETURN,SHIPPED,201980,Refunded,8/6/2019 9:27 am,68,ch_1EiuxXJbAfK4zMcb1EZQadtR,
AG-US-00868053,RETURN,SHIPPED,201984,Refunded,8/6/2019 9:28 am,68,ch_1EqgUFJbAfK4zMcbaLhqf6E2,
AG-US-00868036,RETURN,SHIPPED,201983,Refunded,8/6/2019 9:28 am,57.8,ch_1EqWJYJbAfK4zMcb7owYwc5c,
AG-US-00856930,RETURN,SHIPPED,201977,Refunded,8/6/2019 9:27 am,56.1,ch_1Eeuh2JbAfK4zMcbGWk5R5Ha,
AG-US-00867231,RETURN,SHIPPED,201982,Refunded,8/6/2019 9:27 am,38,,9TH03844H8875404S
