Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00847898,RETURN,SHIPPED,203095,Refunded,8/29/19 15:23,459,ch_1EXAbqJbAfK4zMcbogizjRo6,,SUCCESS
AG-US-00862816,RETURN,SHIPPED,203101,Refunded,8/29/19 15:24,146,ch_1EkI19JbAfK4zMcbbD1yEUnf,,SUCCESS
AG-US-00854447,RETURN,SHIPPED,203096,Refunded,8/29/19 15:23,118,,68086793KS1249023,SUCCESS
AG-US-00859854,RETURN,SHIPPED,203098,Refunded,8/29/19 15:23,118,,1ND02278D5444032H,SUCCESS
AG-US-00846037,RETURN,SHIPPED,203099,Refunded,8/29/19 15:23,118,,7HF321520X323310D,SUCCESS
AG-US-00858563,RETURN,SHIPPED,203107,Refunded,8/29/19 15:24,118,ch_1EgXEfJbAfK4zMcbCAxAdgUt,,SUCCESS
AG-US-00859517,RETURN,SHIPPED,203117,Refunded,8/29/19 15:25,118,,7FL05771TH7754517,SUCCESS
AG-US-00859647,RETURN,SHIPPED,203097,Refunded,8/29/19 15:23,109.08,ch_1EhK4eJbAfK4zMcbvMjFZ0Hc,,SUCCESS
AG-US-00860896,RETURN,SHIPPED,203100,Refunded,8/29/19 15:23,108,,61R84845B51112125,SUCCESS
AG-US-00791061,RETURN,SHIPPED,203104,Refunded,8/29/19 15:24,91.8,ch_1DpJddJbAfK4zMcb4srciFUN,,SUCCESS
AG-US-00864362,RETURN,SHIPPED,203102,Refunded,8/29/19 15:24,68,ch_1Em03TJbAfK4zMcbuCIfCEJd,,SUCCESS
