order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00847898,RETURN,SHIPPED,203095,Refunded,8/29/2019 3:23 pm,459,ch_1EXAbqJbAfK4zMcbogizjRo6,
AG-US-00862816,RETURN,SHIPPED,203101,Refunded,8/29/2019 3:24 pm,146,ch_1EkI19JbAfK4zMcbbD1yEUnf,
AG-US-00854447,RETURN,SHIPPED,203096,Refunded,8/29/2019 3:23 pm,118,,68086793KS1249023
AG-US-00859854,RETURN,SHIPPED,203098,Refunded,8/29/2019 3:23 pm,118,,1ND02278D5444032H
AG-US-00846037,RETURN,SHIPPED,203099,Refunded,8/29/2019 3:23 pm,118,,7HF321520X323310D
AG-US-00858563,RETURN,SHIPPED,203107,Refunded,8/29/2019 3:24 pm,118,ch_1EgXEfJbAfK4zMcbCAxAdgUt,
AG-US-00859517,RETURN,SHIPPED,203117,Refunded,8/29/2019 3:25 pm,118,,7FL05771TH7754517
AG-US-00859647,RETURN,SHIPPED,203097,Refunded,8/29/2019 3:23 pm,109.08,ch_1EhK4eJbAfK4zMcbvMjFZ0Hc,
AG-US-00860896,RETURN,SHIPPED,203100,Refunded,8/29/2019 3:23 pm,108,,61R84845B51112125
AG-US-00791061,RETURN,SHIPPED,203104,Refunded,8/29/2019 3:24 pm,91.8,ch_1DpJddJbAfK4zMcb4srciFUN,
AG-US-00864362,RETURN,SHIPPED,203102,Refunded,8/29/2019 3:24 pm,68,ch_1Em03TJbAfK4zMcbuCIfCEJd,
