Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00868405,RETURN,SHIPPED,201188,Refunded,7/27/19 2:16,444,ch_1ErQQFJbAfK4zMcbjbexNGm5,,SUCCESS
AG-US-00842032,RETURN,SHIPPED,201151,Refunded,7/27/19 2:13,190.72,ch_1ESFdHJbAfK4zMcbgSd08ZpF,,SUCCESS
AG-US-00868158,RETURN,SHIPPED,201186,Refunded,7/27/19 2:16,148,ch_1EqjdEJbAfK4zMcbHvwf7Wpw,,SUCCESS
AG-US-00859307,RETURN,SHIPPED,201222,Refunded,7/27/19 2:18,129.21,,0L333127KK386313M,SUCCESS
AG-US-00866031,RETURN,SHIPPED,201173,Refunded,7/27/19 2:15,126.58,ch_1EneSnJbAfK4zMcbUgh2AcQV,,SUCCESS
AG-US-00822990,RETURN,SHIPPED,201150,Refunded,7/27/19 2:13,118.26,ch_1ECp3kJbAfK4zMcbciAzosDF,,SUCCESS
AG-US-00847104,RETURN,SHIPPED,201153,Refunded,7/27/19 2:14,118,,46U942911X814864S,SUCCESS
AG-US-00853488,RETURN,SHIPPED,201154,Refunded,7/27/19 2:14,118,,2KM57609CY428293M,SUCCESS
AG-US-00839916,RETURN,SHIPPED,201161,Refunded,7/27/19 2:14,118,ch_1EQDqgJbAfK4zMcbibGt0uSP,,SUCCESS
AG-US-00839601,RETURN,SHIPPED,201163,Refunded,7/27/19 2:14,118,ch_1EPxTJJbAfK4zMcbdPhEdPiq,,SUCCESS
AG-US-00846588,RETURN,SHIPPED,201171,Refunded,7/27/19 2:15,118,ch_1EVzexJbAfK4zMcb1atsvfPy,,SUCCESS
AG-US-00854161,RETURN,SHIPPED,201214,Refunded,7/27/19 2:18,118,,5P459494UX0380905,SUCCESS
AG-US-00855581,RETURN,SHIPPED,201220,Refunded,7/27/19 2:18,118,ch_1EdiW2JbAfK4zMcbVIUDyh90,,SUCCESS
AG-US-00829025,RETURN,SHIPPED,201200,Refunded,7/27/19 2:17,117.59,ch_1EHBmWJbAfK4zMcbPrUHKrif,,SUCCESS
AG-US-00820881,RETURN,SHIPPED,201149,Refunded,7/27/19 2:13,116.1,ch_1EBYiGJbAfK4zMcb4NrD0aXJ,,SUCCESS
AG-US-00867273,RETURN,SHIPPED,201180,Refunded,7/27/19 2:15,115.6,,0TK93949GX351360K,SUCCESS
AG-US-00867695,RETURN,SHIPPED,201182,Refunded,7/27/19 2:15,115.6,ch_1EpjeTJbAfK4zMcbT13NAOIg,,SUCCESS
AG-US-00868462,RETURN,SHIPPED,201190,Refunded,7/27/19 2:16,113.95,ch_1Ere4mJbAfK4zMcb4oMwM21I,,SUCCESS
