order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00862283,RETURN,SHIPPED,200994,Refunded,7/25/2019 2:13 am,426.7,ch_1EjqaLJbAfK4zMcbOfw8dkel,
AG-US-00866966,RETURN,SHIPPED,201010,Refunded,7/25/2019 2:14 am,196,ch_1Eot21JbAfK4zMcbh4WkTs0g,
AG-US-00868356,RETURN,SHIPPED,201018,Refunded,7/25/2019 2:15 am,183.6,,0KX44004D7739012A
AG-US-00864662,RETURN,SHIPPED,201003,Refunded,7/25/2019 2:14 am,177.92,ch_1EmLleJbAfK4zMcbAKzSRGN8,
AG-US-00863353,RETURN,SHIPPED,200997,Refunded,7/25/2019 2:13 am,168.63,ch_1EkyaxJbAfK4zMcbkDJRNuNH,
AG-US-00861499,RETURN,SHIPPED,200992,Refunded,7/25/2019 2:13 am,157.3,ch_1Ej875JbAfK4zMcbnET6wRbh,
AG-US-00864725,RETURN,SHIPPED,201002,Refunded,7/25/2019 2:14 am,154.5,ch_1EmGCuJbAfK4zMcbYwFBK0Ct,
AG-US-00862295,RETURN,SHIPPED,200995,Refunded,7/25/2019 2:13 am,146,ch_1EjqkUJbAfK4zMcbsnftNgiA,
AG-US-00866136,RETURN,SHIPPED,201006,Refunded,7/25/2019 2:14 am,122.58,ch_1EngD7JbAfK4zMcbqsQ4BTzU,
AG-US-00868254,RETURN,SHIPPED,201019,Refunded,7/25/2019 2:15 am,118.53,ch_1Er8oHJbAfK4zMcbgxIhoVkq,
AG-US-00867053,RETURN,SHIPPED,201011,Refunded,7/25/2019 2:14 am,118.26,ch_1EozlVJbAfK4zMcbHt1A02yH,
AG-US-00829694,RETURN,SHIPPED,200978,Refunded,7/25/2019 2:12 am,118,ch_1EHdG4JbAfK4zMcbTT8LrqVo,
AG-US-00854896,RETURN,SHIPPED,200983,Refunded,7/25/2019 2:12 am,118,,1TU7763146015711G
AG-US-00855016,RETURN,SHIPPED,200984,Refunded,7/25/2019 2:13 am,118,,9P850002857034811
AG-US-00845322,RETURN,SHIPPED,200990,Refunded,7/25/2019 2:13 am,118,ch_1EUagOJbAfK4zMcbit8Kg41r,
