Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00837813,RETURN,SHIPPED,201617,Refunded,8/2/2019 12:38 pm,314.5,ch_1EOLECJbAfK4zMcbScK9GlnJ,,SUCCESS
AG-US-00856217,RETURN,SHIPPED,201673,Refunded,8/2/2019 12:42 pm,236,,5YY31547PN697502D,FAILED
AG-US-00860103,RETURN,SHIPPED,201633,Refunded,8/2/2019 12:39 pm,174,ch_1Ehf8cJbAfK4zMcbq2Ya1Brz,,SUCCESS
AG-US-00867994,RETURN,SHIPPED,201648,Refunded,8/2/2019 12:40 pm,148.58,ch_1EqNQiJbAfK4zMcbH4fOHjrF,,SUCCESS
AG-US-00866673,RETURN,SHIPPED,201643,Refunded,8/2/2019 12:40 pm,146,,20T66710E8713101W,FAILED
AG-US-00838690,RETURN,SHIPPED,201636,Refunded,8/2/2019 12:40 pm,128.33,ch_1EPEZiJbAfK4zMcbn5LQvahS,,SUCCESS
AG-US-00848681,RETURN,SHIPPED,201620,Refunded,8/2/2019 12:38 pm,118,ch_1EXzSKJbAfK4zMcbpugEBiYW,,SUCCESS
AG-US-00853517,RETURN,SHIPPED,201621,Refunded,8/2/2019 12:38 pm,118,,1H891623TR4522158,FAILED
AG-US-00854301,RETURN,SHIPPED,201622,Refunded,8/2/2019 12:39 pm,118,,5VD90307M13557357,FAILED
AG-US-00854579,RETURN,SHIPPED,201623,Refunded,8/2/2019 12:39 pm,118,ch_1EcszxJbAfK4zMcbVUx8AUTY,,SUCCESS
AG-US-00855104,RETURN,SHIPPED,201625,Refunded,8/2/2019 12:39 pm,118,ch_1EdG3AJbAfK4zMcbqYwGl645,,SUCCESS
AG-US-00856627,RETURN,SHIPPED,201626,Refunded,8/2/2019 12:39 pm,118,ch_1EeaSdJbAfK4zMcbCqTKcocb,,SUCCESS
AG-US-00856629,RETURN,SHIPPED,201627,Refunded,8/2/2019 12:39 pm,118,ch_1EeaWGJbAfK4zMcbK7sYg9N0,,SUCCESS
AG-US-00857257,RETURN,SHIPPED,201628,Refunded,8/2/2019 12:39 pm,118,,0WL861146S4097231,FAILED
AG-US-00841030,RETURN,SHIPPED,201635,Refunded,8/2/2019 12:39 pm,118,,1E0699141T126604G,FAILED
AG-US-00855597,RETURN,SHIPPED,201671,Refunded,8/2/2019 12:42 pm,118,ch_1EdhprJbAfK4zMcb1mTWfZXu,,SUCCESS
AG-US-00859819,RETURN,SHIPPED,201676,Refunded,8/2/2019 12:42 pm,118,ch_1EhQxxJbAfK4zMcb8Cl4dWeJ,,SUCCESS
AG-US-00854708,RETURN,SHIPPED,201624,Refunded,8/2/2019 12:39 pm,109.33,ch_1EcvXIJbAfK4zMcbFX7oitYQ,,SUCCESS
AG-US-00857889,RETURN,SHIPPED,201675,Refunded,8/2/2019 12:42 pm,109.33,,50G92233LV673154G,FAILED
AG-US-00859635,RETURN,SHIPPED,201630,Refunded,8/2/2019 12:39 pm,108.8,ch_1EhJLkJbAfK4zMcbCRN1mCXQ,,SUCCESS
AG-US-00868289,RETURN,SHIPPED,201649,Refunded,8/2/2019 12:40 pm,108,ch_1ErF0IJbAfK4zMcbcuwOstfe,,SUCCESS
AG-US-00855743,RETURN,SHIPPED,201672,Refunded,8/2/2019 12:42 pm,101.95,ch_1Edoq2JbAfK4zMcbZ0xk3Rvt,,SUCCESS
AG-US-00858609,RETURN,SHIPPED,201629,Refunded,8/2/2019 12:39 pm,100.3,ch_1EgOO6JbAfK4zMcbpH6cnRoS,,SUCCESS
AG-US-00859993,RETURN,SHIPPED,201632,Refunded,8/2/2019 12:39 pm,100.3,,8HP06065MC8381424,FAILED
AG-US-00841415,RETURN,SHIPPED,201634,Refunded,8/2/2019 12:39 pm,100.3,ch_1ERh5uJbAfK4zMcbzQmtKstT,,SUCCESS
AG-US-00856463,RETURN,SHIPPED,201674,Refunded,8/2/2019 12:42 pm,100.3,ch_1EeUvxJbAfK4zMcbtgVcA5iI,,SUCCESS
AG-US-00867947,RETURN,SHIPPED,201646,Refunded,8/2/2019 12:40 pm,100,,0ES97520KR017073D,FAILED
AG-US-00866024,RETURN,SHIPPED,201642,Refunded,8/2/2019 12:40 pm,97.75,ch_1EncV5JbAfK4zMcbcWR2RtSG,,SUCCESS
AG-US-00866018,RETURN,SHIPPED,201641,Refunded,8/2/2019 12:40 pm,94.93,ch_1EnbUnJbAfK4zMcbFed0FQMD,,SUCCESS
AG-US-00843250,RETURN,SHIPPED,201619,Refunded,8/2/2019 12:38 pm,93.84,ch_1ETG4eJbAfK4zMcbcWlrIx0z,,SUCCESS
AG-US-00863501,RETURN,SHIPPED,201638,Refunded,8/2/2019 12:40 pm,91.8,ch_1El5TYJbAfK4zMcbgLsICKK2,,SUCCESS
AG-US-00861987,RETURN,SHIPPED,201637,Refunded,8/2/2019 12:40 pm,68,ch_1EjasJJbAfK4zMcbSYoXKhxw,,SUCCESS
AG-US-00841415,RETURN,SHIPPED,201618,Refunded,8/2/2019 12:38 pm,66.3,ch_1ERh5uJbAfK4zMcbzQmtKstT,,SUCCESS
AG-US-00859888,RETURN,SHIPPED,201631,Refunded,8/2/2019 12:39 pm,57.8,ch_1Ehc2xJbAfK4zMcb5T4qf8cJ,,SUCCESS
AG-US-00865467,RETURN,SHIPPED,201640,Refunded,8/2/2019 12:40 pm,57.8,,67J41421CF057201C,FAILED
AG-US-00867072,RETURN,SHIPPED,201644,Refunded,8/2/2019 12:40 pm,57.8,ch_1Ep3CbJbAfK4zMcb6f2arzqz,,SUCCESS
AG-US-00715183,RETURN,SHIPPED,201616,Refunded,8/2/2019 12:38 pm,38,ch_1DBCTrJbAfK4zMcbL74ofmjr,,SUCCESS
AG-US-00867622,RETURN,SHIPPED,201645,Refunded,8/2/2019 12:40 pm,38,ch_1EpmfhJbAfK4zMcbYzwy3WxO,,SUCCESS
AG-US-00867891,RETURN,SHIPPED,201647,Refunded,8/2/2019 12:40 pm,30.4,ch_1EqNATJbAfK4zMcbTqYCsmsk,,SUCCESS
AG-US-00864113,RETURN,SHIPPED,201639,Refunded,8/2/2019 12:40 pm,23,ch_1ElfKrJbAfK4zMcbKMAuKfbf,,SUCCESS
