Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00863474,RETURN,SHIPPED,201733,Refunded,8/3/19 2:14,268,ch_1ElBGuJbAfK4zMcbbOwIZRqz,,SUCCESS
AG-US-00850652,RETURN,SHIPPED,201709,Refunded,8/3/19 2:13,251.6,ch_1Ea0qHJbAfK4zMcb0J8X6NLK,,SUCCESS
AG-US-00867859,RETURN,SHIPPED,201746,Refunded,8/3/19 2:15,249.09,ch_1EqCmqJbAfK4zMcbtfLdpP3f,,SUCCESS
AG-US-00824146,RETURN,SHIPPED,201701,Refunded,8/3/19 2:12,236,ch_1EDFduJbAfK4zMcbowI9gW7u,,SUCCESS
AG-US-00868052,RETURN,SHIPPED,201749,Refunded,8/3/19 2:15,236,ch_1EqgByJbAfK4zMcbaNtTtFBr,,SUCCESS
AG-US-00867354,RETURN,SHIPPED,201742,Refunded,8/3/19 2:15,216,ch_1EpIwbJbAfK4zMcbT4RbcsIy,,SUCCESS
AG-US-00851263,RETURN,SHIPPED,201710,Refunded,8/3/19 2:13,200.6,ch_1EaNPKJbAfK4zMcbjS5xeted,,SUCCESS
AG-US-00861814,RETURN,SHIPPED,201730,Refunded,8/3/19 2:14,199.29,ch_1EjTh1JbAfK4zMcbM48Sxc8A,,SUCCESS
AG-US-00863179,RETURN,SHIPPED,201734,Refunded,8/3/19 2:14,176.3,ch_1EkizGJbAfK4zMcbr05G8qi7,,SUCCESS
AG-US-00858484,RETURN,SHIPPED,201719,Refunded,8/3/19 2:13,136,ch_1EgIKcJbAfK4zMcbQ3uY72hO,,SUCCESS
AG-US-00856509,RETURN,SHIPPED,201713,Refunded,8/3/19 2:13,128.92,ch_1EeY1ZJbAfK4zMcb84VidiFi,,SUCCESS
AG-US-00854661,RETURN,SHIPPED,201774,Refunded,8/3/19 2:17,128.92,ch_1EcxZCJbAfK4zMcbwHhBoBuh,,SUCCESS
AG-US-00859613,RETURN,SHIPPED,201780,Refunded,8/3/19 2:18,128.47,ch_1EhIIoJbAfK4zMcb8nROl6jc,,SUCCESS
AG-US-00867988,RETURN,SHIPPED,201747,Refunded,8/3/19 2:15,128,,4DU67523XS022890H,SUCCESS
AG-US-00857045,RETURN,SHIPPED,201715,Refunded,8/3/19 2:13,127.88,,9YB81991VS808262A,SUCCESS
AG-US-00857305,RETURN,SHIPPED,201777,Refunded,8/3/19 2:17,127.15,,6KH76296218965847,SUCCESS
AG-US-00857945,RETURN,SHIPPED,201717,Refunded,8/3/19 2:13,118,ch_1Efr5yJbAfK4zMcbnHXZWWtJ,,SUCCESS
AG-US-00846307,RETURN,SHIPPED,201725,Refunded,8/3/19 2:14,118,,8PL99276DC013684C,SUCCESS
AG-US-00851853,RETURN,SHIPPED,201745,Refunded,8/3/19 2:15,118,,980402056W281672A,SUCCESS
AG-US-00854733,RETURN,SHIPPED,201773,Refunded,8/3/19 2:17,118,ch_1Ecx1UJbAfK4zMcbPVlSrDVx,,SUCCESS
AG-US-00856015,RETURN,SHIPPED,201775,Refunded,8/3/19 2:17,118,ch_1Ee4GdJbAfK4zMcbdRM12s90,,SUCCESS
AG-US-00856024,RETURN,SHIPPED,201776,Refunded,8/3/19 2:17,118,ch_1Ee4ffJbAfK4zMcbMeVBEeLK,,SUCCESS
AG-US-00857758,RETURN,SHIPPED,201778,Refunded,8/3/19 2:17,118,ch_1Efe9DJbAfK4zMcbMDZFt6id,,SUCCESS
AG-US-00859175,RETURN,SHIPPED,201818,Refunded,8/3/19 2:20,118,ch_1Eh0KVJbAfK4zMcbGqDSAZFZ,,SUCCESS
AG-US-00860373,RETURN,SHIPPED,201844,Refunded,8/3/19 2:22,118,ch_1Ei02vJbAfK4zMcbB6ArdUp6,,SUCCESS
AG-US-00804672,RETURN,SHIPPED,201755,Refunded,8/3/19 2:16,116.91,ch_1DyoZPJbAfK4zMcb9f6V2gH6,,SUCCESS
AG-US-00773023,RETURN,SHIPPED,201698,Refunded,8/3/19 2:12,116.37,ch_1DgZX3JbAfK4zMcbfLZh4ewi,,SUCCESS
AG-US-00867216,RETURN,SHIPPED,201741,Refunded,8/3/19 2:15,115.6,ch_1EpEvMJbAfK4zMcb4nmorwCH,,SUCCESS
AG-US-00848538,RETURN,SHIPPED,201705,Refunded,8/3/19 2:12,109.58,,4H562131RP679153R,SUCCESS
AG-US-00858130,RETURN,SHIPPED,201779,Refunded,8/3/19 2:17,108.32,ch_1EfzzhJbAfK4zMcb9sOOWZQ9,,SUCCESS
AG-US-00780871,RETURN,SHIPPED,201700,Refunded,8/3/19 2:12,108,ch_1DiJP3JbAfK4zMcbMVB2QfWs,,SUCCESS
AG-US-00809173,RETURN,SHIPPED,201756,Refunded,8/3/19 2:16,108,ch_1E2YIKJbAfK4zMcbvwfGmBy7,,SUCCESS
AG-US-00868173,RETURN,SHIPPED,201750,Refunded,8/3/19 2:15,106.09,,2TC39051DJ4249934,SUCCESS
AG-US-00844045,RETURN,SHIPPED,201703,Refunded,8/3/19 2:12,105.6,ch_1ETxAvJbAfK4zMcbMq7VIKCF,,SUCCESS
AG-US-00849489,RETURN,SHIPPED,201707,Refunded,8/3/19 2:12,102.93,ch_1EYxPvJbAfK4zMcbTt6I8SN1,,SUCCESS
AG-US-00856947,RETURN,SHIPPED,201714,Refunded,8/3/19 2:13,100.3,,1P675811DR802081Y,SUCCESS
AG-US-00858608,RETURN,SHIPPED,201720,Refunded,8/3/19 2:13,100.3,ch_1EgON2JbAfK4zMcbP6K9gJ90,,SUCCESS
AG-US-00844141,RETURN,SHIPPED,201726,Refunded,8/3/19 2:14,100.3,ch_1EU36CJbAfK4zMcbbnpqVzO9,,SUCCESS
AG-US-00846054,RETURN,SHIPPED,201727,Refunded,8/3/19 2:14,100.3,ch_1EVJqgJbAfK4zMcbioaSob6V,,SUCCESS
AG-US-00846314,RETURN,SHIPPED,201728,Refunded,8/3/19 2:14,100.3,,319898876X489944W,SUCCESS
AG-US-00838865,RETURN,SHIPPED,201729,Refunded,8/3/19 2:14,100.3,,13733878VH924410N,SUCCESS
AG-US-00859138,RETURN,SHIPPED,201721,Refunded,8/3/19 2:14,100,ch_1EgyBtJbAfK4zMcbksfPV6LD,,SUCCESS
AG-US-00855448,RETURN,SHIPPED,201712,Refunded,8/3/19 2:13,98,ch_1EdezKJbAfK4zMcbjl7AI4EB,,SUCCESS
AG-US-00849330,RETURN,SHIPPED,201706,Refunded,8/3/19 2:12,95.7,,4R644148CD176022G,SUCCESS
AG-US-00840684,RETURN,SHIPPED,201724,Refunded,8/3/19 2:14,94.4,ch_1EQyhLJbAfK4zMcbYwr9xzs8,,SUCCESS
AG-US-00865282,RETURN,SHIPPED,201737,Refunded,8/3/19 2:15,91.8,ch_1Emlh6JbAfK4zMcbxZcWXtgu,,SUCCESS
AG-US-00864025,RETURN,SHIPPED,201735,Refunded,8/3/19 2:14,88,,7CF06824JV630481R,SUCCESS
AG-US-00858068,RETURN,SHIPPED,201718,Refunded,8/3/19 2:13,83.3,ch_1EftaxJbAfK4zMcbjKrDXUcW,,SUCCESS
AG-US-00778019,RETURN,SHIPPED,201699,Refunded,8/3/19 2:12,81,ch_1DhUl5JbAfK4zMcbs1DlxbYg,,SUCCESS
AG-US-00862620,RETURN,SHIPPED,201731,Refunded,8/3/19 2:14,80.6,ch_1EkAHyJbAfK4zMcbWHKoXt2W,,SUCCESS
AG-US-00868457,RETURN,SHIPPED,201753,Refunded,8/3/19 2:16,76.33,ch_1ErbHyJbAfK4zMcbpZ9AVSVG,,SUCCESS
AG-US-00843313,RETURN,SHIPPED,201702,Refunded,8/3/19 2:12,75.6,ch_1ETGX2JbAfK4zMcb5yQEmS3e,,SUCCESS
AG-US-00865513,RETURN,SHIPPED,201738,Refunded,8/3/19 2:15,74.8,ch_1EmvXtJbAfK4zMcbdtOgRL4t,,SUCCESS
AG-US-00857758,RETURN,SHIPPED,201716,Refunded,8/3/19 2:13,68,ch_1Efe9DJbAfK4zMcbMDZFt6id,,SUCCESS
AG-US-00864323,RETURN,SHIPPED,201736,Refunded,8/3/19 2:14,68,,59732485F94003641,SUCCESS
AG-US-00867147,RETURN,SHIPPED,201740,Refunded,8/3/19 2:15,68,ch_1EozuQJbAfK4zMcbhUjcnTfZ,,SUCCESS
AG-US-00867514,RETURN,SHIPPED,201744,Refunded,8/3/19 2:15,68,,4UB60017X59704012,SUCCESS
AG-US-00868029,RETURN,SHIPPED,201748,Refunded,8/3/19 2:15,68,,59L48914F9523751W,SUCCESS
AG-US-00868305,RETURN,SHIPPED,201751,Refunded,8/3/19 2:16,63.15,ch_1Eqs3EJbAfK4zMcbtQRVEDeA,,SUCCESS
AG-US-00849989,RETURN,SHIPPED,201708,Refunded,8/3/19 2:13,58.86,ch_1EZOzDJbAfK4zMcbQg5AQQoz,,SUCCESS
AG-US-00866595,RETURN,SHIPPED,201739,Refunded,8/3/19 2:15,57.8,,53G45450R3118660G,SUCCESS
AG-US-00868264,RETURN,SHIPPED,201752,Refunded,8/3/19 2:16,57.65,,5GD22977N86306208,SUCCESS
AG-US-00852046,RETURN,SHIPPED,201711,Refunded,8/3/19 2:13,54,ch_1EavisJbAfK4zMcbcScgUSTc,,SUCCESS
AG-US-00863144,RETURN,SHIPPED,201732,Refunded,8/3/19 2:14,48,ch_1EkfNEJbAfK4zMcbfftkZZHi,,SUCCESS
AG-US-00844332,RETURN,SHIPPED,201704,Refunded,8/3/19 2:12,33.29,ch_1EUEv4JbAfK4zMcbhFud9Hm8,,SUCCESS
AG-US-00859801,RETURN,SHIPPED,201723,Refunded,8/3/19 2:14,26,ch_1EhOe9JbAfK4zMcbJ5mEoQtj,,SUCCESS
AG-US-00859164,RETURN,SHIPPED,201722,Refunded,8/3/19 2:14,23,ch_1EgzeuJbAfK4zMcbsf0u5nyO,,SUCCESS
