order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00863474,RETURN,SHIPPED,201733,Refunded,8/3/2019 2:14 am,268,ch_1ElBGuJbAfK4zMcbbOwIZRqz,
AG-US-00850652,RETURN,SHIPPED,201709,Refunded,8/3/2019 2:13 am,251.6,ch_1Ea0qHJbAfK4zMcb0J8X6NLK,
AG-US-00867859,RETURN,SHIPPED,201746,Refunded,8/3/2019 2:15 am,249.09,ch_1EqCmqJbAfK4zMcbtfLdpP3f,
AG-US-00824146,RETURN,SHIPPED,201701,Refunded,8/3/2019 2:12 am,236,ch_1EDFduJbAfK4zMcbowI9gW7u,
AG-US-00868052,RETURN,SHIPPED,201749,Refunded,8/3/2019 2:15 am,236,ch_1EqgByJbAfK4zMcbaNtTtFBr,
AG-US-00867354,RETURN,SHIPPED,201742,Refunded,8/3/2019 2:15 am,216,ch_1EpIwbJbAfK4zMcbT4RbcsIy,
AG-US-00851263,RETURN,SHIPPED,201710,Refunded,8/3/2019 2:13 am,200.6,ch_1EaNPKJbAfK4zMcbjS5xeted,
AG-US-00861814,RETURN,SHIPPED,201730,Refunded,8/3/2019 2:14 am,199.29,ch_1EjTh1JbAfK4zMcbM48Sxc8A,
AG-US-00863179,RETURN,SHIPPED,201734,Refunded,8/3/2019 2:14 am,176.3,ch_1EkizGJbAfK4zMcbr05G8qi7,
AG-US-00858484,RETURN,SHIPPED,201719,Refunded,8/3/2019 2:13 am,136,ch_1EgIKcJbAfK4zMcbQ3uY72hO,
AG-US-00856509,RETURN,SHIPPED,201713,Refunded,8/3/2019 2:13 am,128.92,ch_1EeY1ZJbAfK4zMcb84VidiFi,
AG-US-00854661,RETURN,SHIPPED,201774,Refunded,8/3/2019 2:17 am,128.92,ch_1EcxZCJbAfK4zMcbwHhBoBuh,
AG-US-00859613,RETURN,SHIPPED,201780,Refunded,8/3/2019 2:18 am,128.47,ch_1EhIIoJbAfK4zMcb8nROl6jc,
AG-US-00867988,RETURN,SHIPPED,201747,Refunded,8/3/2019 2:15 am,128,,4DU67523XS022890H
AG-US-00857045,RETURN,SHIPPED,201715,Refunded,8/3/2019 2:13 am,127.88,,9YB81991VS808262A
AG-US-00857305,RETURN,SHIPPED,201777,Refunded,8/3/2019 2:17 am,127.15,,6KH76296218965847
AG-US-00857945,RETURN,SHIPPED,201717,Refunded,8/3/2019 2:13 am,118,ch_1Efr5yJbAfK4zMcbnHXZWWtJ,
AG-US-00846307,RETURN,SHIPPED,201725,Refunded,8/3/2019 2:14 am,118,,8PL99276DC013684C
AG-US-00851853,RETURN,SHIPPED,201745,Refunded,8/3/2019 2:15 am,118,,980402056W281672A
AG-US-00854733,RETURN,SHIPPED,201773,Refunded,8/3/2019 2:17 am,118,ch_1Ecx1UJbAfK4zMcbPVlSrDVx,
AG-US-00856015,RETURN,SHIPPED,201775,Refunded,8/3/2019 2:17 am,118,ch_1Ee4GdJbAfK4zMcbdRM12s90,
