order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00866803,RETURN,SHIPPED,200669,Pending Receipt,7/22/2019 8:57 am,129.2,ch_1Eodn0JbAfK4zMcbfnsTHcDw,
AG-US-00862122,RETURN,SHIPPED,200670,Pending Receipt,7/22/2019 9:32 am,81.91,ch_1Eje0kJbAfK4zMcbQlv5xM2i,
SO901270208,RETURN,SHIPPED,196249,Refunded,5/31/2019 1:28 pm,83.3,,
AG-US-00864307,RETURN,SHIPPED,200272,Refunded,7/18/2019 8:59 am,566.77,ch_1Elq1yJbAfK4zMcbDvwfTlyH,
AG-US-00866028,RETURN,SHIPPED,200318,Refunded,7/18/2019 9:03 am,504.47,ch_1Ene8RJbAfK4zMcb3Rtn24Sn,
AG-US-00862479,RETURN,SHIPPED,200227,Refunded,7/18/2019 8:56 am,558,,5GP13482MM464650V
AG-US-00865303,RETURN,SHIPPED,200292,Refunded,7/18/2019 9:01 am,581,ch_1EmhlzJbAfK4zMcbRJ7WIR3Y,
AG-US-00857448,RETURN,SHIPPED,200583,Refunded,7/20/2019 2:14 am,598.03,ch_1EfHkCJbAfK4zMcbpZhJQkq0,
AG-US-00866771,RETURN,SHIPPED,200628,Refunded,7/20/2019 2:16 am,565.21,ch_1Eoc9SJbAfK4zMcb1YtGuSGd,
AG-US-00857865,RETURN,SHIPPED,200695,Refunded,7/22/2019 10:53 am,306.68,ch_1Efi26JbAfK4zMcbibuusWld,
AG-US-00864282,RETURN,SHIPPED,200724,Refunded,7/22/2019 10:55 am,266,ch_1ElztjJbAfK4zMcbDRZoRLqk,
AG-US-00864813,RETURN,SHIPPED,200728,Refunded,7/22/2019 10:55 am,264,,6T507596VX3118458
AG-US-00848623,RETURN,SHIPPED,200737,Refunded,7/22/2019 10:56 am,253.11,ch_1EXs9sJbAfK4zMcbgb1YDj5d,
AG-US-00868306,RETURN,SHIPPED,200780,Refunded,7/22/2019 10:59 am,238.14,ch_1EqsHaJbAfK4zMcb8xp8Df3F,
AG-US-00864045,RETURN,SHIPPED,200723,Refunded,7/22/2019 10:55 am,238,ch_1ElhGbJbAfK4zMcbZlLV4az6,
AG-US-00868282,RETURN,SHIPPED,200784,Refunded,7/22/2019 11:00 am,234,ch_1ErCJGJbAfK4zMcbP3IolVEB,
AG-US-00868446,RETURN,SHIPPED,200788,Refunded,7/22/2019 11:00 am,227.12,ch_1ErYaBJbAfK4zMcbzqhioQme,
AG-US-00864388,RETURN,SHIPPED,200725,Refunded,7/22/2019 10:55 am,222.36,,48F39182F4056080R
AG-US-00866057,RETURN,SHIPPED,200744,Refunded,7/22/2019 10:57 am,205,ch_1EnnPUJbAfK4zMcboH45NnuE,
AG-US-00868103,RETURN,SHIPPED,200779,Refunded,7/22/2019 10:59 am,198.9,ch_1EqSCoJbAfK4zMcbxXUQCgii,
AG-US-00867549,RETURN,SHIPPED,200768,Refunded,7/22/2019 10:59 am,186,ch_1EpbUWJbAfK4zMcbZzAVFw7O,
AG-US-00866426,RETURN,SHIPPED,200750,Refunded,7/22/2019 10:57 am,185.97,ch_1EoCgkJbAfK4zMcbPWD1njdD,
AG-US-00858855,RETURN,SHIPPED,200699,Refunded,7/22/2019 10:53 am,176,ch_1EgiOvJbAfK4zMcbVi8gNbxC,
AG-US-00866070,RETURN,SHIPPED,200745,Refunded,7/22/2019 10:57 am,166.6,,6US11275SY858504S
AG-US-00867408,RETURN,SHIPPED,200764,Refunded,7/22/2019 10:58 am,166.6,ch_1EpOpeJbAfK4zMcbjHOOBNEl,
AG-US-00856938,RETURN,SHIPPED,200693,Refunded,7/22/2019 10:53 am,162,,0T333495TU540071K
AG-US-00867283,RETURN,SHIPPED,200763,Refunded,7/22/2019 10:58 am,148.92,ch_1EpKyPJbAfK4zMcbFFrgDM8P,
AG-US-00867378,RETURN,SHIPPED,200762,Refunded,7/22/2019 10:58 am,146,ch_1EpKzfJbAfK4zMcbRWJ9HDdW,
AG-US-00836975,RETURN,SHIPPED,200678,Refunded,7/22/2019 10:52 am,136,ch_1ENSrjJbAfK4zMcbYSRqhRRe,
AG-US-00867788,RETURN,SHIPPED,200775,Refunded,7/22/2019 10:59 am,136,,9NT06802SC807230H
AG-US-00861762,RETURN,SHIPPED,200710,Refunded,7/22/2019 10:54 am,135.15,ch_1EjRGpJbAfK4zMcbhfQjUA3c,
AG-US-00867166,RETURN,SHIPPED,200758,Refunded,7/22/2019 10:58 am,134,,9WA52660LR6817223
AG-US-00824122,RETURN,SHIPPED,200680,Refunded,7/22/2019 10:52 am,128.92,,18K5751435061783S
AG-US-00851179,RETURN,SHIPPED,200756,Refunded,7/22/2019 10:58 am,128.03,ch_1EaApIJbAfK4zMcbf9kS8FiP,
AG-US-00856769,RETURN,SHIPPED,200692,Refunded,7/22/2019 10:53 am,128,ch_1EepjpJbAfK4zMcbcOe5Xe0A,
AG-US-00863639,RETURN,SHIPPED,200720,Refunded,7/22/2019 10:55 am,125.43,ch_1ElIpMJbAfK4zMcbkpOJjzUH,
AG-US-00853429,RETURN,SHIPPED,200688,Refunded,7/22/2019 10:53 am,124.1,ch_1EbxdHJbAfK4zMcbBDCXrmqU,
AG-US-00867230,RETURN,SHIPPED,200760,Refunded,7/22/2019 10:58 am,122,ch_1EpG0DJbAfK4zMcbvSlOl0jP,
AG-US-00866351,RETURN,SHIPPED,200747,Refunded,7/22/2019 10:57 am,120.7,ch_1EnzyqJbAfK4zMcb59gpsvqH,
AG-US-00824360,RETURN,SHIPPED,200681,Refunded,7/22/2019 10:52 am,118,,84M00955EY9951523
AG-US-00852503,RETURN,SHIPPED,200686,Refunded,7/22/2019 10:52 am,118,ch_1EbEkrJbAfK4zMcbnMRGc4Wd,
AG-US-00823921,RETURN,SHIPPED,200713,Refunded,7/22/2019 10:54 am,118,ch_1EDBZfJbAfK4zMcbVZ57bF5d,
AG-US-00779151,RETURN,SHIPPED,200675,Refunded,7/22/2019 10:51 am,117.45,ch_1DhpTlJbAfK4zMcbIhxpVlPv,
AG-US-00859435,RETURN,SHIPPED,200701,Refunded,7/22/2019 10:53 am,117.3,,5N6522901H7700053
AG-US-00863299,RETURN,SHIPPED,200718,Refunded,7/22/2019 10:55 am,117.18,,9SC66157A0724741E
AG-US-00860055,RETURN,SHIPPED,200703,Refunded,7/22/2019 10:53 am,115.41,,7H956108GU518523C
AG-US-00867365,RETURN,SHIPPED,200761,Refunded,7/22/2019 10:58 am,113.55,ch_1EpK2iJbAfK4zMcbvNkbOvtl,
AG-US-00850821,RETURN,SHIPPED,200773,Refunded,7/22/2019 10:59 am,110.08,,5AC19465KM473354K
AG-US-00773050,RETURN,SHIPPED,200673,Refunded,7/22/2019 10:51 am,108,ch_1DgZhbJbAfK4zMcboOcF2QlJ,
AG-US-00776749,RETURN,SHIPPED,200674,Refunded,7/22/2019 10:51 am,108,ch_1DhJBKJbAfK4zMcbsKh67NjG,
AG-US-00779311,RETURN,SHIPPED,200676,Refunded,7/22/2019 10:52 am,108,ch_1DhrCRJbAfK4zMcbGNxy2jaZ,
AG-US-00795781,RETURN,SHIPPED,200677,Refunded,7/22/2019 10:52 am,108,ch_1DtdcLJbAfK4zMcbyJ08X8dr,
AG-US-00852736,RETURN,SHIPPED,200687,Refunded,7/22/2019 10:52 am,108,,93E600151H9399720
AG-US-00853716,RETURN,SHIPPED,200689,Refunded,7/22/2019 10:53 am,108,ch_1EcCj0JbAfK4zMcbyBWdp6ej,
AG-US-00861326,RETURN,SHIPPED,200707,Refunded,7/22/2019 10:54 am,108,ch_1Eiy9PJbAfK4zMcbiAVCSn59,
AG-US-00862773,RETURN,SHIPPED,200714,Refunded,7/22/2019 10:54 am,108,ch_1EkLSXJbAfK4zMcbN3qDmzL6,
AG-US-00776749,RETURN,SHIPPED,200732,Refunded,7/22/2019 10:56 am,108,ch_1DhJBKJbAfK4zMcbsKh67NjG,
AG-US-00806103,RETURN,SHIPPED,200759,Refunded,7/22/2019 10:58 am,108,ch_1E09yeJbAfK4zMcbxrXPsqMz,
AG-US-00778418,RETURN,SHIPPED,200770,Refunded,7/22/2019 10:59 am,108,,94B03998LN339410U
AG-US-00806103,RETURN,SHIPPED,200771,Refunded,7/22/2019 10:59 am,108,ch_1E09yeJbAfK4zMcbxrXPsqMz,
AG-US-00867682,RETURN,SHIPPED,200772,Refunded,7/22/2019 10:59 am,108,ch_1Eq0erJbAfK4zMcbsosMfSAi,
AG-US-00866245,RETURN,SHIPPED,200748,Refunded,7/22/2019 10:57 am,102.4,ch_1Eo1TvJbAfK4zMcbFLibB9bj,
AG-US-00865598,RETURN,SHIPPED,200738,Refunded,7/22/2019 10:56 am,100,,9L1562226L987050N
AG-US-00864848,RETURN,SHIPPED,200730,Refunded,7/22/2019 10:56 am,95.7,,7UW69554DJ0730945
