order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00864187,RETURN,SHIPPED,205630,Refunded,10/1/2019 2:13 am,161.6,ch_1Elnq7JbAfK4zMcbztapwQNc,
AG-US-00841456,RETURN,SHIPPED,205629,Refunded,10/1/2019 2:13 am,109.2,ch_1ERkKvJbAfK4zMcb9DqVl8xB,
AG-US-00858407,RETURN,SHIPPED,205628,Refunded,10/1/2019 2:13 am,58,ch_1EgCYVJbAfK4zMcby3Gkor1C,
AG-US-00856165,RETURN,SHIPPED,205627,Refunded,10/1/2019 2:13 am,33.33,ch_1EeM6dJbAfK4zMcbCJf8NJPy,
AG-US-00861451,RETURN,SHIPPED,205818,Closed,10/1/2019 12:54 pm,50,ch_1EjA92JbAfK4zMcbCLMZ8wyk,
AG-US-00815251,RETURN,SHIPPED,205819,Closed,10/1/2019 12:54 pm,108,ch_1E7jW7JbAfK4zMcbPRY571VY,
AG-US-00857948,RETURN,SHIPPED,205754,Refunded,10/1/2019 12:32 pm,64,ch_1EfrOZJbAfK4zMcbnLF4Gwdp,
