order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00865076,RETURN,SHIPPED,200615,Refunded,7/20/2019 2:16 AM,452.55,ch_1EmZLNJbAfK4zMcbbMFdpwJl,
AG-US-00868570,RETURN,SHIPPED,200652,Refunded,7/20/2019 2:18 AM,418.56,ch_1ErkdyJbAfK4zMcbx5SDoy0Y,
AG-US-00864438,RETURN,SHIPPED,200613,Refunded,7/20/2019 2:15 AM,368,ch_1Em3H1JbAfK4zMcbUvlC1qOH,
AG-US-00862758,RETURN,SHIPPED,200604,Refunded,7/20/2019 2:15 AM,342.29,,
AG-US-00867267,RETURN,SHIPPED,200634,Refunded,7/20/2019 2:17 AM,295.65,ch_1EpJN5JbAfK4zMcbtFQ3EOP4,
AG-US-00868533,RETURN,SHIPPED,200651,Refunded,7/20/2019 2:18 AM,249.34,ch_1ErUNyJbAfK4zMcbM3R545Vz,
AG-US-00868403,RETURN,SHIPPED,200650,Refunded,7/20/2019 2:18 AM,244,ch_1ErPnRJbAfK4zMcbfnyg3xxi,
AG-US-00862018,RETURN,SHIPPED,200601,Refunded,7/20/2019 2:15 AM,216,,
AG-US-00866901,RETURN,SHIPPED,200630,Refunded,7/20/2019 2:17 AM,204,ch_1Eof9AJbAfK4zMcbFNobzvek,
AG-US-00866500,RETURN,SHIPPED,200624,Refunded,7/20/2019 2:16 AM,199.49,ch_1EoCOwJbAfK4zMcbCEgUDLdm,
AG-US-00868101,RETURN,SHIPPED,200645,Refunded,7/20/2019 2:18 AM,196,ch_1EqRprJbAfK4zMcbKH7t2UjM,
AG-US-00848647,RETURN,SHIPPED,200574,Refunded,7/20/2019 2:13 AM,186,ch_1EXvKRJbAfK4zMcbmPNiUXBz,
AG-US-00860712,RETURN,SHIPPED,200590,Refunded,7/20/2019 2:14 AM,186,ch_1EiI1WJbAfK4zMcbFqCmPkEI,
AG-US-00866588,RETURN,SHIPPED,200626,Refunded,7/20/2019 2:16 AM,183.96,ch_1EoOrJJbAfK4zMcb7FwfC4zs,
AG-US-00865034,RETURN,SHIPPED,200614,Refunded,7/20/2019 2:16 AM,183.6,ch_1EmUZiJbAfK4zMcbRWHiHP1V,
AG-US-00868321,RETURN,SHIPPED,200648,Refunded,7/20/2019 2:18 AM,182.43,ch_1Er1wgJbAfK4zMcb4k3laAJn,
AG-US-00867689,RETURN,SHIPPED,200643,Refunded,7/20/2019 2:17 AM,182,ch_1Eq1zqJbAfK4zMcbr0bMsY5m,
AG-US-00852797,RETURN,SHIPPED,200577,Refunded,7/20/2019 2:13 AM,173.4,ch_1EbVtuJbAfK4zMcbvxBDuF4T,
AG-US-00868166,RETURN,SHIPPED,200646,Refunded,7/20/2019 2:18 AM,166.44,ch_1EqkbDJbAfK4zMcbCvwNZYwM,
AG-US-00867465,RETURN,SHIPPED,200641,Refunded,7/20/2019 2:17 AM,159.87,ch_1EpcvgJbAfK4zMcb9yDBwNzo,
AG-US-00858687,RETURN,SHIPPED,200585,Refunded,7/20/2019 2:14 AM,156,ch_1EgbEsJbAfK4zMcbL0cj0rtc,
AG-US-00838374,RETURN,SHIPPED,200565,Refunded,7/20/2019 2:12 AM,154.76,ch_1EOwNIJbAfK4zMcboLa4zSxs,
AG-US-00842708,RETURN,SHIPPED,200571,Refunded,7/20/2019 2:13 AM,150.25,,
AG-US-00857851,RETURN,SHIPPED,200584,Refunded,7/20/2019 2:14 AM,146,,
AG-US-00867430,RETURN,SHIPPED,200638,Refunded,7/20/2019 2:17 AM,136,ch_1EpRL8JbAfK4zMcbxuwapyRe,
AG-US-00867440,RETURN,SHIPPED,200639,Refunded,7/20/2019 2:17 AM,136,,
AG-US-00831808,RETURN,SHIPPED,200569,Refunded,7/20/2019 2:13 AM,127.44,ch_1EJAcXJbAfK4zMcb4DuqaaMF,
AG-US-00832999,RETURN,SHIPPED,200570,Refunded,7/20/2019 2:13 AM,118,,
AG-US-00849685,RETURN,SHIPPED,200631,Refunded,7/20/2019 2:17 AM,118,,
AG-US-00865234,RETURN,SHIPPED,200616,Refunded,7/20/2019 2:16 AM,113.88,,
AG-US-00861148,RETURN,SHIPPED,200593,Refunded,7/20/2019 2:14 AM,108.75,ch_1EiopqJbAfK4zMcbbVWTDIvZ,
AG-US-00776219,RETURN,SHIPPED,200562,Refunded,7/20/2019 2:12 AM,108,ch_1Dh6s2JbAfK4zMcbv6oHq1q5,
AG-US-00779585,RETURN,SHIPPED,200563,Refunded,7/20/2019 2:12 AM,108,,
AG-US-00840562,RETURN,SHIPPED,200568,Refunded,7/20/2019 2:13 AM,108,,
AG-US-00843056,RETURN,SHIPPED,200572,Refunded,7/20/2019 2:13 AM,108,ch_1ETADFJbAfK4zMcbturVzrFg,
AG-US-00861576,RETURN,SHIPPED,200597,Refunded,7/20/2019 2:14 AM,108,ch_1EjEATJbAfK4zMcbC7cP0xJK,
AG-US-00866318,RETURN,SHIPPED,200622,Refunded,7/20/2019 2:16 AM,108,ch_1Enwx1JbAfK4zMcbBB7xDY2q,
AG-US-00867718,RETURN,SHIPPED,200642,Refunded,7/20/2019 2:17 AM,108,ch_1EpludJbAfK4zMcbqtqxdhF7,
AG-US-00778199,RETURN,SHIPPED,200661,Refunded,7/20/2019 2:19 AM,108,ch_1DhcsMJbAfK4zMcbaGZQUHGi,
AG-US-00840306,RETURN,SHIPPED,200567,Refunded,7/20/2019 2:13 AM,106,ch_1EQaSVJbAfK4zMcbYCr8uyAU,
