Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00853085,RETURN,SHIPPED,201471,Refunded,8/1/19 2:13,422.92,,14E58323GK128230B,SUCCESS
AG-US-00847237,RETURN,SHIPPED,201574,Refunded,8/1/19 10:08,291.34,ch_1EWm8tJbAfK4zMcb3O51aim0,,SUCCESS
AG-US-00850033,RETURN,SHIPPED,201470,Refunded,8/1/19 2:13,236,,94T93057C7597640F,SUCCESS
AG-US-00854746,RETURN,SHIPPED,201575,Refunded,8/1/19 10:08,216,ch_1Ecxf4JbAfK4zMcbVm7bZ7Ry,,SUCCESS
AG-US-00843436,RETURN,SHIPPED,201573,Refunded,8/1/19 10:08,209.1,ch_1ETOXMJbAfK4zMcbRN5SnbkX,,SUCCESS
AG-US-00864006,RETURN,SHIPPED,201495,Refunded,8/1/19 2:15,192.28,,5.39716E+16,SUCCESS
AG-US-00864164,RETURN,SHIPPED,201583,Refunded,8/1/19 10:09,183.6,ch_1ElkPAJbAfK4zMcbv2FWYoxQ,,SUCCESS
AG-US-00868296,RETURN,SHIPPED,201514,Refunded,8/1/19 2:16,177,ch_1EqqpVJbAfK4zMcbF73Qj8N2,,SUCCESS
AG-US-00842455,RETURN,SHIPPED,201572,Refunded,8/1/19 10:08,172.14,ch_1ESkSXJbAfK4zMcbB8SvlKgG,,SUCCESS
AG-US-00848650,RETURN,SHIPPED,201468,Refunded,8/1/19 2:13,159.51,ch_1EXvbRJbAfK4zMcbzFNBWarK,,SUCCESS
AG-US-00866643,RETURN,SHIPPED,201501,Refunded,8/1/19 2:15,148.92,ch_1EoXgeJbAfK4zMcbZwXJeQNq,,SUCCESS
AG-US-00862601,RETURN,SHIPPED,201493,Refunded,8/1/19 2:15,146,,5GD4533868732973S,SUCCESS
AG-US-00867762,RETURN,SHIPPED,201511,Refunded,8/1/19 2:16,136,ch_1EpyWwJbAfK4zMcbzHxAEgBP,,SUCCESS
AG-US-00858490,RETURN,SHIPPED,201479,Refunded,8/1/19 2:14,129.51,ch_1EgItMJbAfK4zMcbHQcaNXfL,,SUCCESS
AG-US-00856333,RETURN,SHIPPED,201473,Refunded,8/1/19 2:13,129.21,ch_1EeRlxJbAfK4zMcbbiazUTjN,,SUCCESS
AG-US-00863190,RETURN,SHIPPED,201494,Refunded,8/1/19 2:15,126,ch_1Ekkw1JbAfK4zMcb33cKrEWD,,SUCCESS
AG-US-00868232,RETURN,SHIPPED,201516,Refunded,8/1/19 2:16,124.1,ch_1Er30iJbAfK4zMcbFeSgW7LP,,SUCCESS
AG-US-00866752,RETURN,SHIPPED,201587,Refunded,8/1/19 10:09,124.1,ch_1Eoaj5JbAfK4zMcblOOQVr2V,,SUCCESS
AG-US-00839679,RETURN,SHIPPED,201571,Refunded,8/1/19 10:08,123.98,,14K28681TN1275258,SUCCESS
AG-US-00852408,RETURN,SHIPPED,201588,Refunded,8/1/19 10:09,120.66,,46D4844574647431G,SUCCESS
AG-US-00804518,RETURN,SHIPPED,201463,Refunded,8/1/19 2:13,118.26,ch_1Dyhq7JbAfK4zMcb6cnNX18Z,,SUCCESS
AG-US-00849265,RETURN,SHIPPED,201469,Refunded,8/1/19 2:13,118,ch_1EYZjwJbAfK4zMcbeGqwOYPs,,SUCCESS
